Strike,Expiry,Type,Symbol,Last,Vol
35.0,2015-01-17 00:00:00,call,HD150117C00035000,58.15,2
35.0,2015-01-17 00:00:00,put,HD150117P00035000,0.01,10
40.0,2015-01-17 00:00:00,call,HD150117C00040000,53.4,76
40.0,2015-01-17 00:00:00,put,HD150117P00040000,0.04,116
40.0,2015-02-20 00:00:00,put,HD150220P00040000,0.06,14
40.0,2016-01-15 00:00:00,call,HD160115C00040000,51.15,55
40.0,2016-01-15 00:00:00,put,HD160115P00040000,0.29,1
42.5,2015-02-20 00:00:00,put,HD150220P00042500,0.11,23
45.0,2015-01-17 00:00:00,call,HD150117C00045000,48.3,15
45.0,2015-01-17 00:00:00,put,HD150117P00045000,0.09,63
45.0,2016-01-15 00:00:00,call,HD160115C00045000,46.2,55
45.0,2016-01-15 00:00:00,put,HD160115P00045000,0.3,100
47.5,2016-01-15 00:00:00,put,HD160115P00047500,0.75,48
50.0,2014-11-22 00:00:00,put,HD141122P00050000,0.03,10
50.0,2015-01-17 00:00:00,call,HD150117C00050000,43.3,515
50.0,2015-01-17 00:00:00,put,HD150117P00050000,0.06,20
50.0,2015-02-20 00:00:00,put,HD150220P00050000,0.2,1
50.0,2016-01-15 00:00:00,call,HD160115C00050000,43.3,30
50.0,2016-01-15 00:00:00,put,HD160115P00050000,0.5,111
52.5,2015-01-17 00:00:00,call,HD150117C00052500,40.7,2
52.5,2015-01-17 00:00:00,put,HD150117P00052500,0.08,10
55.0,2014-11-22 00:00:00,call,HD141122C00055000,27.92,1
55.0,2014-11-22 00:00:00,put,HD141122P00055000,0.03,10
55.0,2015-01-17 00:00:00,call,HD150117C00055000,38.4,380
55.0,2015-01-17 00:00:00,put,HD150117P00055000,0.06,7
55.0,2015-02-20 00:00:00,put,HD150220P00055000,0.15,1
55.0,2016-01-15 00:00:00,call,HD160115C00055000,38.3,33
55.0,2016-01-15 00:00:00,put,HD160115P00055000,0.59,12
57.5,2015-01-17 00:00:00,call,HD150117C00057500,35.8,12
57.5,2015-01-17 00:00:00,put,HD150117P00057500,0.11,48
60.0,2014-09-20 00:00:00,put,HD140920P00060000,0.02,268
60.0,2014-11-22 00:00:00,call,HD141122C00060000,33.25,977
60.0,2014-11-22 00:00:00,put,HD141122P00060000,0.04,33
60.0,2015-01-17 00:00:00,call,HD150117C00060000,33.5,1101
