Strike,Expiry,Type,Symbol,Last,Vol
15.0,2015-01-17 00:00:00,call,HLF150117C00015000,38.0,1
15.0,2015-01-17 00:00:00,put,HLF150117P00015000,0.34,25
17.5,2015-01-17 00:00:00,put,HLF150117P00017500,0.55,3
20.0,2015-01-17 00:00:00,call,HLF150117C00020000,29.75,87
20.0,2015-01-17 00:00:00,put,HLF150117P00020000,0.6,10
22.5,2015-01-17 00:00:00,put,HLF150117P00022500,0.9,6
25.0,2014-10-18 00:00:00,put,HLF141018P00025000,0.2,1
25.0,2014-11-22 00:00:00,call,HLF141122C00025000,24.45,10
25.0,2014-11-22 00:00:00,put,HLF141122P00025000,0.45,12
25.0,2015-01-17 00:00:00,call,HLF150117C00025000,41.15,1
25.0,2015-01-17 00:00:00,put,HLF150117P00025000,0.78,77
25.0,2015-02-20 00:00:00,put,HLF150220P00025000,1.1,20
25.0,2016-01-15 00:00:00,call,HLF160115C00025000,29.15,7
25.0,2016-01-15 00:00:00,put,HLF160115P00025000,3.85,10
27.5,2014-09-20 00:00:00,put,HLF140920P00027500,0.05,26
27.5,2014-10-18 00:00:00,put,HLF141018P00027500,0.3,200
27.5,2014-11-22 00:00:00,put,HLF141122P00027500,0.6,6
27.5,2015-01-17 00:00:00,call,HLF150117C00027500,27.0,1
27.5,2015-01-17 00:00:00,put,HLF150117P00027500,1.25,1
27.5,2015-02-20 00:00:00,put,HLF150220P00027500,1.59,1
27.5,2016-01-15 00:00:00,call,HLF160115C00027500,30.35,1
27.5,2016-01-15 00:00:00,put,HLF160115P00027500,4.8,1
30.0,2014-09-20 00:00:00,put,HLF140920P00030000,0.1,75
30.0,2014-10-18 00:00:00,put,HLF141018P00030000,0.29,2
30.0,2014-11-22 00:00:00,call,HLF141122C00030000,25.65,3
30.0,2014-11-22 00:00:00,put,HLF141122P00030000,1.04,32
30.0,2015-01-17 00:00:00,call,HLF150117C00030000,21.4,14
30.0,2015-01-17 00:00:00,put,HLF150117P00030000,1.42,1
30.0,2015-02-20 00:00:00,call,HLF150220C00030000,22.66,7
30.0,2015-02-20 00:00:00,put,HLF150220P00030000,1.96,1
30.0,2016-01-15 00:00:00,call,HLF160115C00030000,24.4,5
30.0,2016-01-15 00:00:00,put,HLF160115P00030000,5.85,175
32.5,2014-09-20 00:00:00,put,HLF140920P00032500,0.16,3
32.5,2014-10-18 00:00:00,put,HLF141018P00032500,0.39,1
32.5,2014-11-22 00:00:00,call,HLF141122C00032500,33.4,5
32.5,2014-11-22 00:00:00,put,HLF141122P00032500,1.1,5
32.5,2015-01-17 00:00:00,call,HLF150117C00032500,22.09,2
32.5,2015-01-17 00:00:00,put,HLF150117P00032500,1.98,12
32.5,2015-02-20 00:00:00,call,HLF150220C00032500,20.4,1
32.5,2015-02-20 00:00:00,put,HLF150220P00032500,2.49,1
32.5,2016-01-15 00:00:00,call,HLF160115C00032500,22.7,20
32.5,2016-01-15 00:00:00,put,HLF160115P00032500,6.35,33
35.0,2014-09-12 00:00:00,put,HLF140912P00035000,0.01,59
35.0,2014-09-20 00:00:00,put,HLF140920P00035000,0.17,1
35.0,2014-10-18 00:00:00,put,HLF141018P00035000,0.51,3
35.0,2014-11-22 00:00:00,call,HLF141122C00035000,18.2,3
35.0,2014-11-22 00:00:00,put,HLF141122P00035000,1.32,5
35.0,2015-01-17 00:00:00,call,HLF150117C00035000,20.45,10
35.0,2015-01-17 00:00:00,put,HLF150117P00035000,2.35,6
