Strike,Expiry,Type,Symbol,Last,Vol
40.0,2015-01-17 00:00:00,put,IWM150117P00040000,0.02,2
45.0,2015-01-17 00:00:00,put,IWM150117P00045000,0.02,1
46.0,2015-01-17 00:00:00,put,IWM150117P00046000,0.53,0
47.0,2015-01-17 00:00:00,put,IWM150117P00047000,0.05,15
49.0,2015-01-17 00:00:00,put,IWM150117P00049000,0.24,0
50.0,2015-01-17 00:00:00,call,IWM150117C00050000,60.91,5
50.0,2015-01-17 00:00:00,put,IWM150117P00050000,0.02,11
51.0,2015-01-17 00:00:00,put,IWM150117P00051000,0.05,2
52.0,2015-01-17 00:00:00,put,IWM150117P00052000,0.09,1
53.0,2015-01-17 00:00:00,put,IWM150117P00053000,0.13,77
54.0,2015-01-17 00:00:00,call,IWM150117C00054000,66.36,6
54.0,2015-01-17 00:00:00,put,IWM150117P00054000,0.17,261
55.0,2014-11-22 00:00:00,put,IWM141122P00055000,0.06,3
55.0,2014-12-20 00:00:00,put,IWM141220P00055000,0.02,2
55.0,2015-01-17 00:00:00,put,IWM150117P00055000,0.02,30
55.0,2015-02-20 00:00:00,put,IWM150220P00055000,0.08,4
55.0,2016-01-15 00:00:00,call,IWM160115C00055000,61.26,4
55.0,2016-01-15 00:00:00,put,IWM160115P00055000,0.38,1
56.0,2014-11-22 00:00:00,put,IWM141122P00056000,0.04,1
56.0,2015-01-17 00:00:00,call,IWM150117C00056000,60.95,2
56.0,2015-01-17 00:00:00,put,IWM150117P00056000,0.01,18
57.0,2014-11-22 00:00:00,put,IWM141122P00057000,0.04,2
57.0,2015-01-17 00:00:00,put,IWM150117P00057000,0.03,1
58.0,2014-09-20 00:00:00,put,IWM140920P00058000,0.01,1
58.0,2014-11-22 00:00:00,put,IWM141122P00058000,0.01,33
58.0,2014-12-20 00:00:00,put,IWM141220P00058000,0.02,21
58.0,2015-01-17 00:00:00,put,IWM150117P00058000,0.01,1
59.0,2014-11-22 00:00:00,put,IWM141122P00059000,0.02,10
59.0,2014-12-20 00:00:00,put,IWM141220P00059000,0.02,10
59.0,2015-01-17 00:00:00,put,IWM150117P00059000,0.01,1
60.0,2014-09-30 00:00:00,put,IWM140930P00060000,0.02,23
60.0,2014-11-22 00:00:00,put,IWM141122P00060000,0.09,3010
60.0,2014-12-20 00:00:00,put,IWM141220P00060000,0.03,10
60.0,2014-12-31 00:00:00,put,IWM141231P00060000,0.08,64
60.0,2015-01-17 00:00:00,call,IWM150117C00060000,59.79,6
60.0,2015-01-17 00:00:00,put,IWM150117P00060000,0.03,10
60.0,2015-02-20 00:00:00,put,IWM150220P00060000,0.21,10
60.0,2015-03-20 00:00:00,put,IWM150320P00060000,0.04,100
60.0,2015-05-15 00:00:00,put,IWM150515P00060000,0.17,10
60.0,2016-01-15 00:00:00,call,IWM160115C00060000,58.03,1
60.0,2016-01-15 00:00:00,put,IWM160115P00060000,0.69,22
61.0,2014-09-20 00:00:00,put,IWM140920P00061000,0.02,10
61.0,2014-11-22 00:00:00,put,IWM141122P00061000,0.02,2
61.0,2015-01-17 00:00:00,call,IWM150117C00061000,59.34,4
61.0,2015-01-17 00:00:00,put,IWM150117P00061000,0.28,181
62.0,2014-11-22 00:00:00,put,IWM141122P00062000,0.01,400
62.0,2015-01-17 00:00:00,put,IWM150117P00062000,0.05,2
63.0,2014-09-20 00:00:00,put,IWM140920P00063000,0.02,10
63.0,2014-11-22 00:00:00,put,IWM141122P00063000,0.03,11
63.0,2014-12-20 00:00:00,put,IWM141220P00063000,0.02,5
63.0,2015-01-17 00:00:00,put,IWM150117P00063000,0.41,0
64.0,2014-09-20 00:00:00,put,IWM140920P00064000,0.01,1
64.0,2014-11-22 00:00:00,put,IWM141122P00064000,0.02,2
64.0,2014-12-20 00:00:00,put,IWM141220P00064000,0.02,1
