Strike,Expiry,Type,Symbol,Last,Vol
35.0,2015-01-17 00:00:00,put,IYR150117P00035000,0.02,54
35.0,2016-01-15 00:00:00,put,IYR160115P00035000,0.2,15
40.0,2015-01-17 00:00:00,call,IYR150117C00040000,32.1,18
40.0,2015-01-17 00:00:00,put,IYR150117P00040000,0.03,27
40.0,2016-01-15 00:00:00,put,IYR160115P00040000,0.3,15
45.0,2014-09-20 00:00:00,put,IYR140920P00045000,0.09,1
45.0,2014-12-20 00:00:00,put,IYR141220P00045000,0.04,10
45.0,2015-01-17 00:00:00,put,IYR150117P00045000,0.05,4
45.0,2016-01-15 00:00:00,call,IYR160115C00045000,27.24,6
45.0,2016-01-15 00:00:00,put,IYR160115P00045000,0.65,23500
46.0,2014-09-20 00:00:00,put,IYR140920P00046000,0.03,37
47.0,2014-09-20 00:00:00,put,IYR140920P00047000,0.03,46
50.0,2014-09-20 00:00:00,put,IYR140920P00050000,0.03,16
50.0,2014-12-20 00:00:00,put,IYR141220P00050000,0.11,2
50.0,2015-01-17 00:00:00,call,IYR150117C00050000,24.55,1
50.0,2015-01-17 00:00:00,put,IYR150117P00050000,0.13,4
50.0,2016-01-15 00:00:00,call,IYR160115C00050000,22.85,20
50.0,2016-01-15 00:00:00,put,IYR160115P00050000,0.83,60
51.0,2014-09-20 00:00:00,put,IYR140920P00051000,0.54,0
52.0,2014-09-20 00:00:00,put,IYR140920P00052000,0.03,87
53.0,2014-09-20 00:00:00,put,IYR140920P00053000,0.03,50
54.0,2014-09-20 00:00:00,put,IYR140920P00054000,0.03,8
55.0,2014-09-20 00:00:00,put,IYR140920P00055000,0.03,16
55.0,2015-01-17 00:00:00,call,IYR150117C00055000,17.2,275
55.0,2015-01-17 00:00:00,put,IYR150117P00055000,0.15,2
55.0,2015-06-19 00:00:00,put,IYR150619P00055000,0.65,5
55.0,2016-01-15 00:00:00,call,IYR160115C00055000,16.75,1
55.0,2016-01-15 00:00:00,put,IYR160115P00055000,1.7,4
56.0,2014-09-20 00:00:00,put,IYR140920P00056000,0.03,78
56.0,2015-01-17 00:00:00,call,IYR150117C00056000,16.2,700
56.0,2015-01-17 00:00:00,put,IYR150117P00056000,0.3,3
56.0,2016-01-15 00:00:00,put,IYR160115P00056000,3.3,24
57.0,2014-09-20 00:00:00,put,IYR140920P00057000,0.03,10
57.0,2015-01-17 00:00:00,put,IYR150117P00057000,0.38,9
57.0,2016-01-15 00:00:00,call,IYR160115C00057000,14.65,1
57.0,2016-01-15 00:00:00,put,IYR160115P00057000,3.6,24
58.0,2014-09-20 00:00:00,put,IYR140920P00058000,0.03,25
58.0,2014-10-18 00:00:00,put,IYR141018P00058000,0.09,1
58.0,2014-12-20 00:00:00,put,IYR141220P00058000,0.32,5
58.0,2015-01-17 00:00:00,call,IYR150117C00058000,13.45,1
58.0,2015-01-17 00:00:00,put,IYR150117P00058000,0.34,22
58.0,2016-01-15 00:00:00,call,IYR160115C00058000,13.87,6
58.0,2016-01-15 00:00:00,put,IYR160115P00058000,5.1,0
59.0,2014-09-20 00:00:00,put,IYR140920P00059000,0.03,6
59.0,2014-12-20 00:00:00,put,IYR141220P00059000,0.3,40
59.0,2015-01-17 00:00:00,call,IYR150117C00059000,12.81,2
59.0,2015-01-17 00:00:00,put,IYR150117P00059000,0.42,40
59.0,2016-01-15 00:00:00,call,IYR160115C00059000,12.9,2
59.0,2016-01-15 00:00:00,put,IYR160115P00059000,4.2,20
60.0,2014-09-20 00:00:00,put,IYR140920P00060000,0.03,6
60.0,2014-12-20 00:00:00,put,IYR141220P00060000,0.36,2
60.0,2015-01-17 00:00:00,call,IYR150117C00060000,13.84,15
60.0,2015-01-17 00:00:00,put,IYR150117P00060000,0.34,30
60.0,2015-03-20 00:00:00,put,IYR150320P00060000,0.47,4000
60.0,2015-06-19 00:00:00,put,IYR150619P00060000,1.24,2
60.0,2016-01-15 00:00:00,call,IYR160115C00060000,14.55,10
60.0,2016-01-15 00:00:00,put,IYR160115P00060000,2.5,30
61.0,2014-09-20 00:00:00,call,IYR140920C00061000,12.25,77
61.0,2014-09-20 00:00:00,put,IYR140920P00061000,0.03,40
61.0,2014-12-20 00:00:00,call,IYR141220C00061000,12.15,6
61.0,2014-12-20 00:00:00,put,IYR141220P00061000,0.35,1800
61.0,2015-01-17 00:00:00,call,IYR150117C00061000,10.67,2
61.0,2015-01-17 00:00:00,put,IYR150117P00061000,0.25,5
61.0,2015-03-20 00:00:00,put,IYR150320P00061000,0.79,1
61.0,2016-01-15 00:00:00,call,IYR160115C00061000,9.5,2
61.0,2016-01-15 00:00:00,put,IYR160115P00061000,3.05,10
62.0,2014-09-20 00:00:00,put,IYR140920P00062000,0.03,19
62.0,2014-12-20 00:00:00,call,IYR141220C00062000,11.15,6
62.0,2014-12-20 00:00:00,put,IYR141220P00062000,0.75,20
62.0,2015-01-17 00:00:00,call,IYR150117C00062000,9.82,10
62.0,2015-01-17 00:00:00,put,IYR150117P00062000,0.36,20
