Strike,Expiry,Type,Symbol,Last,Vol
1.0,2014-11-22 00:00:00,put,JCP141122P00001000,0.02,249
1.0,2015-01-17 00:00:00,call,JCP150117C00001000,8.0,1
1.0,2015-01-17 00:00:00,put,JCP150117P00001000,0.01,1
1.0,2016-01-15 00:00:00,call,JCP160115C00001000,7.9,1
1.0,2016-01-15 00:00:00,put,JCP160115P00001000,0.03,1
2.0,2014-11-22 00:00:00,put,JCP141122P00002000,0.01,200
2.0,2015-01-17 00:00:00,call,JCP150117C00002000,7.09,1
2.0,2015-01-17 00:00:00,put,JCP150117P00002000,0.02,50
2.0,2016-01-15 00:00:00,call,JCP160115C00002000,8.35,60
2.0,2016-01-15 00:00:00,put,JCP160115P00002000,0.06,21
3.0,2014-11-22 00:00:00,put,JCP141122P00003000,0.01,30
3.0,2015-01-17 00:00:00,call,JCP150117C00003000,8.16,30
3.0,2015-01-17 00:00:00,put,JCP150117P00003000,0.02,150
3.0,2016-01-15 00:00:00,call,JCP160115C00003000,7.25,5
3.0,2016-01-15 00:00:00,put,JCP160115P00003000,0.11,5
4.0,2014-09-20 00:00:00,call,JCP140920C00004000,6.8,5
4.0,2014-09-20 00:00:00,put,JCP140920P00004000,0.02,1
4.0,2014-11-22 00:00:00,call,JCP141122C00004000,5.15,1
4.0,2014-11-22 00:00:00,put,JCP141122P00004000,0.02,11
4.0,2015-01-17 00:00:00,call,JCP150117C00004000,7.1,55
4.0,2015-01-17 00:00:00,put,JCP150117P00004000,0.03,132
4.0,2015-02-20 00:00:00,put,JCP150220P00004000,0.06,4
4.0,2016-01-15 00:00:00,call,JCP160115C00004000,6.99,1
4.0,2016-01-15 00:00:00,put,JCP160115P00004000,0.2,170
5.0,2014-09-20 00:00:00,call,JCP140920C00005000,5.25,25
5.0,2014-09-20 00:00:00,put,JCP140920P00005000,0.03,82
5.0,2014-11-22 00:00:00,call,JCP141122C00005000,5.85,1
5.0,2014-11-22 00:00:00,put,JCP141122P00005000,0.03,10
5.0,2015-01-17 00:00:00,call,JCP150117C00005000,6.0,36
5.0,2015-01-17 00:00:00,put,JCP150117P00005000,0.05,178
5.0,2015-02-20 00:00:00,call,JCP150220C00005000,5.4,1
5.0,2015-02-20 00:00:00,put,JCP150220P00005000,0.05,40
5.0,2016-01-15 00:00:00,call,JCP160115C00005000,6.2,34
5.0,2016-01-15 00:00:00,put,JCP160115P00005000,0.33,1
6.0,2014-09-20 00:00:00,call,JCP140920C00006000,2.71,2
6.0,2014-09-20 00:00:00,put,JCP140920P00006000,0.01,1
6.0,2014-10-18 00:00:00,call,JCP141018C00006000,4.69,2
6.0,2014-11-22 00:00:00,call,JCP141122C00006000,5.1,47
6.0,2014-11-22 00:00:00,put,JCP141122P00006000,0.04,20
6.0,2015-01-17 00:00:00,call,JCP150117C00006000,4.9,4
6.0,2015-01-17 00:00:00,put,JCP150117P00006000,0.08,6
6.0,2015-02-20 00:00:00,call,JCP150220C00006000,4.9,2
6.0,2015-02-20 00:00:00,put,JCP150220P00006000,0.1,4
6.5,2014-09-20 00:00:00,call,JCP140920C00006500,3.85,191
6.5,2014-09-26 00:00:00,call,JCP140926C00006500,3.85,263
6.5,2014-09-26 00:00:00,put,JCP140926P00006500,0.03,20
7.0,2014-09-20 00:00:00,call,JCP140920C00007000,3.85,6
7.0,2014-09-20 00:00:00,put,JCP140920P00007000,0.01,1
7.0,2014-10-18 00:00:00,call,JCP141018C00007000,3.85,3
7.0,2014-10-18 00:00:00,put,JCP141018P00007000,0.04,54
7.0,2014-11-22 00:00:00,call,JCP141122C00007000,4.25,9
7.0,2014-11-22 00:00:00,put,JCP141122P00007000,0.07,14
7.0,2015-01-17 00:00:00,call,JCP150117C00007000,4.05,11
7.0,2015-01-17 00:00:00,put,JCP150117P00007000,0.14,1
7.0,2015-02-20 00:00:00,call,JCP150220C00007000,4.05,20
7.0,2015-02-20 00:00:00,put,JCP150220P00007000,0.17,5
7.0,2016-01-15 00:00:00,call,JCP160115C00007000,4.45,210
7.0,2016-01-15 00:00:00,put,JCP160115P00007000,0.75,56
7.5,2014-09-05 00:00:00,put,JCP140905P00007500,0.09,1
7.5,2014-09-12 00:00:00,put,JCP140912P00007500,0.15,10
7.5,2014-09-26 00:00:00,put,JCP140926P00007500,0.01,5
8.0,2014-09-05 00:00:00,call,JCP140905C00008000,1.83,16
8.0,2014-09-05 00:00:00,put,JCP140905P00008000,0.06,1
8.0,2014-09-12 00:00:00,call,JCP140912C00008000,2.92,6
8.0,2014-09-12 00:00:00,put,JCP140912P00008000,0.02,1
8.0,2014-09-20 00:00:00,call,JCP140920C00008000,2.9,17
8.0,2014-09-20 00:00:00,put,JCP140920P00008000,0.01,5
8.0,2014-09-26 00:00:00,call,JCP140926C00008000,2.9,8
8.0,2014-09-26 00:00:00,put,JCP140926P00008000,0.13,20
8.0,2014-10-18 00:00:00,call,JCP141018C00008000,2.83,7
8.0,2014-10-18 00:00:00,put,JCP141018P00008000,0.05,5
8.0,2014-11-22 00:00:00,call,JCP141122C00008000,3.0,39
8.0,2014-11-22 00:00:00,put,JCP141122P00008000,0.17,1001
8.0,2015-01-17 00:00:00,call,JCP150117C00008000,3.1,83
8.0,2015-01-17 00:00:00,put,JCP150117P00008000,0.25,277
8.0,2015-02-20 00:00:00,call,JCP150220C00008000,3.15,1
8.0,2015-02-20 00:00:00,put,JCP150220P00008000,0.33,25
8.5,2014-09-05 00:00:00,call,JCP140905C00008500,2.15,1
8.5,2014-09-05 00:00:00,put,JCP140905P00008500,0.01,1
8.5,2014-09-12 00:00:00,call,JCP140912C00008500,2.07,1
8.5,2014-09-12 00:00:00,put,JCP140912P00008500,0.01,90
8.5,2014-09-20 00:00:00,put,JCP140920P00008500,0.02,12
8.5,2014-09-26 00:00:00,call,JCP140926C00008500,2.21,1
8.5,2014-09-26 00:00:00,put,JCP140926P00008500,0.04,8
9.0,2014-09-05 00:00:00,call,JCP140905C00009000,1.8,65
9.0,2014-09-05 00:00:00,put,JCP140905P00009000,0.01,5
9.0,2014-09-12 00:00:00,call,JCP140912C00009000,1.89,2
9.0,2014-09-12 00:00:00,put,JCP140912P00009000,0.02,2
9.0,2014-09-20 00:00:00,call,JCP140920C00009000,1.95,6
9.0,2014-09-20 00:00:00,put,JCP140920P00009000,0.04,11
9.0,2014-09-26 00:00:00,call,JCP140926C00009000,1.9,1
9.0,2014-09-26 00:00:00,put,JCP140926P00009000,0.04,12
9.0,2014-10-18 00:00:00,call,JCP141018C00009000,2.09,80
9.0,2014-10-18 00:00:00,put,JCP141018P00009000,0.12,46
9.0,2014-11-22 00:00:00,call,JCP141122C00009000,2.25,37
9.0,2014-11-22 00:00:00,put,JCP141122P00009000,0.32,40
9.0,2015-01-17 00:00:00,call,JCP150117C00009000,2.35,119
9.0,2015-01-17 00:00:00,put,JCP150117P00009000,0.45,18
9.0,2015-02-20 00:00:00,call,JCP150220C00009000,2.34,40
9.0,2015-02-20 00:00:00,put,JCP150220P00009000,0.58,15
9.5,2014-09-05 00:00:00,call,JCP140905C00009500,1.39,6
9.5,2014-09-05 00:00:00,put,JCP140905P00009500,0.01,130
9.5,2014-09-12 00:00:00,call,JCP140912C00009500,1.35,5
9.5,2014-09-12 00:00:00,put,JCP140912P00009500,0.05,2
9.5,2014-09-20 00:00:00,call,JCP140920C00009500,1.43,7
