Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,call,LNG150117C00003000,40.44,0
5.0,2015-01-17 00:00:00,call,LNG150117C00005000,34.4,0
5.0,2015-01-17 00:00:00,put,LNG150117P00005000,0.03,0
8.0,2015-01-17 00:00:00,call,LNG150117C00008000,60.05,10
8.0,2015-01-17 00:00:00,put,LNG150117P00008000,0.04,0
10.0,2015-01-17 00:00:00,call,LNG150117C00010000,63.0,1
10.0,2015-01-17 00:00:00,put,LNG150117P00010000,0.06,0
12.0,2015-01-17 00:00:00,call,LNG150117C00012000,59.4,2
12.0,2015-01-17 00:00:00,put,LNG150117P00012000,0.04,25
13.0,2015-01-17 00:00:00,call,LNG150117C00013000,15.1,0
13.0,2015-01-17 00:00:00,put,LNG150117P00013000,0.09,0
15.0,2015-01-17 00:00:00,call,LNG150117C00015000,59.0,3
15.0,2015-01-17 00:00:00,put,LNG150117P00015000,0.01,12
17.0,2015-01-17 00:00:00,call,LNG150117C00017000,58.11,1
17.0,2015-01-17 00:00:00,put,LNG150117P00017000,0.03,12
20.0,2015-01-17 00:00:00,call,LNG150117C00020000,49.44,27
20.0,2015-01-17 00:00:00,put,LNG150117P00020000,0.04,2
20.0,2016-01-15 00:00:00,call,LNG160115C00020000,56.4,1
20.0,2016-01-15 00:00:00,put,LNG160115P00020000,0.11,10
21.0,2014-09-20 00:00:00,put,LNG140920P00021000,0.04,10
22.0,2015-01-17 00:00:00,call,LNG150117C00022000,56.2,2
22.0,2015-01-17 00:00:00,put,LNG150117P00022000,0.05,3
23.0,2014-09-20 00:00:00,call,LNG140920C00023000,34.33,11
23.0,2014-09-20 00:00:00,put,LNG140920P00023000,0.32,0
23.0,2016-01-15 00:00:00,call,LNG160115C00023000,49.28,27
23.0,2016-01-15 00:00:00,put,LNG160115P00023000,0.92,20
24.0,2014-09-20 00:00:00,call,LNG140920C00024000,35.24,6
25.0,2014-09-20 00:00:00,call,LNG140920C00025000,42.77,20
25.0,2014-09-20 00:00:00,put,LNG140920P00025000,0.24,15
25.0,2015-01-17 00:00:00,call,LNG150117C00025000,52.3,2
25.0,2015-01-17 00:00:00,put,LNG150117P00025000,0.01,20
25.0,2016-01-15 00:00:00,call,LNG160115C00025000,46.73,14
25.0,2016-01-15 00:00:00,put,LNG160115P00025000,0.3,37
26.0,2014-09-20 00:00:00,call,LNG140920C00026000,26.85,0
27.0,2014-09-20 00:00:00,call,LNG140920C00027000,26.8,2
27.0,2014-09-20 00:00:00,put,LNG140920P00027000,0.14,20
27.0,2015-01-17 00:00:00,call,LNG150117C00027000,43.75,10
27.0,2015-01-17 00:00:00,put,LNG150117P00027000,0.04,20
28.0,2014-09-20 00:00:00,call,LNG140920C00028000,39.83,16
28.0,2016-01-15 00:00:00,call,LNG160115C00028000,45.7,11
28.0,2016-01-15 00:00:00,put,LNG160115P00028000,0.4,20
29.0,2014-09-20 00:00:00,put,LNG140920P00029000,0.34,20
30.0,2014-09-20 00:00:00,put,LNG140920P00030000,0.05,20
30.0,2014-12-20 00:00:00,call,LNG141220C00030000,36.45,1
30.0,2014-12-20 00:00:00,put,LNG141220P00030000,0.03,8
30.0,2015-01-17 00:00:00,call,LNG150117C00030000,48.85,2
30.0,2015-01-17 00:00:00,put,LNG150117P00030000,0.05,20
30.0,2016-01-15 00:00:00,call,LNG160115C00030000,46.12,1
30.0,2016-01-15 00:00:00,put,LNG160115P00030000,0.49,50
31.0,2014-09-20 00:00:00,put,LNG140920P00031000,0.04,16
32.0,2014-09-20 00:00:00,put,LNG140920P00032000,0.64,11
33.0,2014-09-20 00:00:00,put,LNG140920P00033000,0.45,7
33.0,2015-01-17 00:00:00,call,LNG150117C00033000,44.4,40
33.0,2015-01-17 00:00:00,put,LNG150117P00033000,0.08,66
33.0,2016-01-15 00:00:00,call,LNG160115C00033000,26.0,5
33.0,2016-01-15 00:00:00,put,LNG160115P00033000,1.0,10
34.0,2014-09-20 00:00:00,put,LNG140920P00034000,0.03,4
35.0,2014-09-20 00:00:00,call,LNG140920C00035000,10.5,0
