Strike,Expiry,Type,Symbol,Last,Vol
0.5,2015-01-17 00:00:00,call,MNKD150117C00000500,9.81,1
0.5,2015-01-17 00:00:00,put,MNKD150117P00000500,0.08,7
1.0,2015-01-17 00:00:00,call,MNKD150117C00001000,6.5,1
1.0,2015-01-17 00:00:00,put,MNKD150117P00001000,0.08,30
1.0,2016-01-15 00:00:00,call,MNKD160115C00001000,5.25,200
1.0,2016-01-15 00:00:00,put,MNKD160115P00001000,0.15,10
1.5,2015-01-17 00:00:00,call,MNKD150117C00001500,5.77,1
1.5,2015-01-17 00:00:00,put,MNKD150117P00001500,0.1,2
2.0,2014-11-22 00:00:00,call,MNKD141122C00002000,8.6,400
2.0,2014-11-22 00:00:00,put,MNKD141122P00002000,0.02,10
2.0,2015-01-17 00:00:00,call,MNKD150117C00002000,5.5,2
2.0,2015-01-17 00:00:00,put,MNKD150117P00002000,0.05,6
2.0,2016-01-15 00:00:00,call,MNKD160115C00002000,4.65,1
2.0,2016-01-15 00:00:00,put,MNKD160115P00002000,0.15,15
2.5,2014-11-22 00:00:00,put,MNKD141122P00002500,0.04,5
2.5,2015-01-17 00:00:00,call,MNKD150117C00002500,4.9,10
2.5,2015-01-17 00:00:00,put,MNKD150117P00002500,0.05,9
2.5,2016-01-15 00:00:00,call,MNKD160115C00002500,4.8,5
2.5,2016-01-15 00:00:00,put,MNKD160115P00002500,0.67,50
3.0,2014-11-22 00:00:00,call,MNKD141122C00003000,7.31,10
3.0,2014-11-22 00:00:00,put,MNKD141122P00003000,0.18,11
3.0,2015-01-17 00:00:00,call,MNKD150117C00003000,4.3,1
3.0,2015-01-17 00:00:00,put,MNKD150117P00003000,0.08,150
3.0,2015-02-20 00:00:00,put,MNKD150220P00003000,0.05,100
3.0,2016-01-15 00:00:00,call,MNKD160115C00003000,4.4,26
3.0,2016-01-15 00:00:00,put,MNKD160115P00003000,0.42,20
3.5,2014-11-22 00:00:00,put,MNKD141122P00003500,0.1,3
3.5,2015-01-17 00:00:00,call,MNKD150117C00003500,4.0,1
3.5,2015-01-17 00:00:00,put,MNKD150117P00003500,0.15,10
3.5,2016-01-15 00:00:00,call,MNKD160115C00003500,4.0,1
3.5,2016-01-15 00:00:00,put,MNKD160115P00003500,0.6,271
4.0,2014-10-18 00:00:00,call,MNKD141018C00004000,3.0,10
4.0,2014-11-22 00:00:00,call,MNKD141122C00004000,3.4,5
4.0,2014-11-22 00:00:00,put,MNKD141122P00004000,0.24,5
4.0,2015-01-17 00:00:00,call,MNKD150117C00004000,3.3,1
4.0,2015-01-17 00:00:00,put,MNKD150117P00004000,0.12,1
4.0,2015-02-20 00:00:00,put,MNKD150220P00004000,0.14,6
4.0,2016-01-15 00:00:00,call,MNKD160115C00004000,3.7,1
4.0,2016-01-15 00:00:00,put,MNKD160115P00004000,0.9,1
4.5,2014-11-22 00:00:00,call,MNKD141122C00004500,2.69,10
4.5,2014-11-22 00:00:00,put,MNKD141122P00004500,0.25,5
4.5,2015-01-17 00:00:00,call,MNKD150117C00004500,3.05,120
4.5,2015-01-17 00:00:00,put,MNKD150117P00004500,0.17,1
4.5,2016-01-15 00:00:00,call,MNKD160115C00004500,3.4,2
4.5,2016-01-15 00:00:00,put,MNKD160115P00004500,1.12,28
5.0,2014-09-20 00:00:00,call,MNKD140920C00005000,2.38,2
5.0,2014-09-20 00:00:00,put,MNKD140920P00005000,0.03,5
5.0,2014-10-18 00:00:00,call,MNKD141018C00005000,2.1,10
5.0,2014-10-18 00:00:00,put,MNKD141018P00005000,0.05,4
5.0,2014-11-22 00:00:00,call,MNKD141122C00005000,2.2,10
5.0,2014-11-22 00:00:00,put,MNKD141122P00005000,0.18,200
5.0,2015-01-17 00:00:00,call,MNKD150117C00005000,2.44,132
5.0,2015-01-17 00:00:00,put,MNKD150117P00005000,0.41,60
5.0,2015-02-20 00:00:00,call,MNKD150220C00005000,2.6,1
5.0,2015-02-20 00:00:00,put,MNKD150220P00005000,0.35,50
5.0,2016-01-15 00:00:00,call,MNKD160115C00005000,3.2,120
5.0,2016-01-15 00:00:00,put,MNKD160115P00005000,1.3,70
5.5,2014-09-20 00:00:00,put,MNKD140920P00005500,0.05,354
5.5,2014-09-26 00:00:00,put,MNKD140926P00005500,0.05,60
5.5,2014-11-22 00:00:00,call,MNKD141122C00005500,1.97,1
5.5,2014-11-22 00:00:00,put,MNKD141122P00005500,0.3,51
5.5,2015-01-17 00:00:00,call,MNKD150117C00005500,2.2,2
5.5,2015-01-17 00:00:00,put,MNKD150117P00005500,0.46,20
5.5,2016-01-15 00:00:00,call,MNKD160115C00005500,3.1,54
5.5,2016-01-15 00:00:00,put,MNKD160115P00005500,1.54,10
6.0,2014-09-05 00:00:00,put,MNKD140905P00006000,0.05,1
6.0,2014-09-12 00:00:00,call,MNKD140912C00006000,1.02,10
6.0,2014-09-12 00:00:00,put,MNKD140912P00006000,0.07,5
6.0,2014-09-20 00:00:00,call,MNKD140920C00006000,1.35,5
6.0,2014-09-20 00:00:00,put,MNKD140920P00006000,0.03,50
6.0,2014-09-26 00:00:00,call,MNKD140926C00006000,1.2,38
6.0,2014-09-26 00:00:00,put,MNKD140926P00006000,0.03,60
6.0,2014-10-18 00:00:00,call,MNKD141018C00006000,1.4,10
6.0,2014-10-18 00:00:00,put,MNKD141018P00006000,0.12,4
6.0,2014-11-22 00:00:00,call,MNKD141122C00006000,1.54,5
6.0,2014-11-22 00:00:00,put,MNKD141122P00006000,0.37,160
6.0,2015-01-17 00:00:00,call,MNKD150117C00006000,1.78,12
6.0,2015-01-17 00:00:00,put,MNKD150117P00006000,0.62,89
6.0,2015-02-20 00:00:00,call,MNKD150220C00006000,2.0,10
6.0,2015-02-20 00:00:00,put,MNKD150220P00006000,0.75,50
6.5,2014-09-05 00:00:00,call,MNKD140905C00006500,2.0,1
6.5,2014-09-05 00:00:00,put,MNKD140905P00006500,0.01,15
6.5,2014-09-12 00:00:00,call,MNKD140912C00006500,0.94,2
6.5,2014-09-12 00:00:00,put,MNKD140912P00006500,0.03,32
6.5,2014-09-20 00:00:00,call,MNKD140920C00006500,1.05,10
6.5,2014-09-20 00:00:00,put,MNKD140920P00006500,0.09,9
6.5,2014-09-26 00:00:00,call,MNKD140926C00006500,0.95,5
6.5,2014-09-26 00:00:00,put,MNKD140926P00006500,0.13,122
6.5,2014-10-03 00:00:00,put,MNKD141003P00006500,0.33,1
7.0,2014-09-05 00:00:00,call,MNKD140905C00007000,0.35,10
