Strike,Expiry,Type,Symbol,Last,Vol
35.0,2015-01-17 00:00:00,call,MWE150117C00035000,39.3,610
35.0,2015-01-17 00:00:00,put,MWE150117P00035000,0.2,2
35.0,2016-01-15 00:00:00,put,MWE160115P00035000,0.35,1
40.0,2014-11-22 00:00:00,put,MWE141122P00040000,0.3,10
40.0,2015-01-17 00:00:00,put,MWE150117P00040000,0.2,1
40.0,2015-02-20 00:00:00,put,MWE150220P00040000,0.3,11
40.0,2016-01-15 00:00:00,put,MWE160115P00040000,0.7,10
42.5,2014-09-20 00:00:00,call,MWE140920C00042500,35.35,109
45.0,2014-11-22 00:00:00,put,MWE141122P00045000,0.8,10
45.0,2015-01-17 00:00:00,put,MWE150117P00045000,0.1,4
45.0,2016-01-15 00:00:00,put,MWE160115P00045000,1.0,72
47.5,2014-11-22 00:00:00,put,MWE141122P00047500,1.0,1
47.5,2016-01-15 00:00:00,put,MWE160115P00047500,1.35,10
50.0,2014-11-22 00:00:00,put,MWE141122P00050000,0.25,30
50.0,2015-01-17 00:00:00,put,MWE150117P00050000,0.1,40
50.0,2016-01-15 00:00:00,call,MWE160115C00050000,30.0,2
50.0,2016-01-15 00:00:00,put,MWE160115P00050000,1.0,3
52.5,2014-11-22 00:00:00,put,MWE141122P00052500,0.1,6
52.5,2015-01-17 00:00:00,put,MWE150117P00052500,1.5,4
52.5,2016-01-15 00:00:00,call,MWE160115C00052500,17.5,43
52.5,2016-01-15 00:00:00,put,MWE160115P00052500,2.5,5
55.0,2014-10-18 00:00:00,call,MWE141018C00055000,21.27,293
55.0,2014-11-22 00:00:00,put,MWE141122P00055000,0.1,1
55.0,2015-01-17 00:00:00,call,MWE150117C00055000,15.89,73
55.0,2015-01-17 00:00:00,put,MWE150117P00055000,0.77,10
55.0,2015-02-20 00:00:00,put,MWE150220P00055000,0.5,3
55.0,2016-01-15 00:00:00,call,MWE160115C00055000,15.24,1
55.0,2016-01-15 00:00:00,put,MWE160115P00055000,2.5,3
57.5,2014-11-22 00:00:00,put,MWE141122P00057500,0.25,14
57.5,2015-01-17 00:00:00,call,MWE150117C00057500,11.56,100
57.5,2015-01-17 00:00:00,put,MWE150117P00057500,0.55,1
57.5,2016-01-15 00:00:00,call,MWE160115C00057500,14.35,7
57.5,2016-01-15 00:00:00,put,MWE160115P00057500,1.9,3
60.0,2014-10-18 00:00:00,put,MWE141018P00060000,0.15,10
60.0,2014-11-22 00:00:00,put,MWE141122P00060000,0.25,8
