Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,put,NVDA150117P00003000,0.01,0
5.0,2015-01-17 00:00:00,call,NVDA150117C00005000,12.9,10
5.0,2015-01-17 00:00:00,put,NVDA150117P00005000,0.09,0
5.0,2016-01-15 00:00:00,call,NVDA160115C00005000,13.65,10
8.0,2014-09-20 00:00:00,put,NVDA140920P00008000,0.04,0
8.0,2015-01-17 00:00:00,call,NVDA150117C00008000,11.29,15
8.0,2015-01-17 00:00:00,put,NVDA150117P00008000,0.04,1
8.0,2016-01-15 00:00:00,put,NVDA160115P00008000,0.08,3
9.0,2015-01-17 00:00:00,put,NVDA150117P00009000,0.04,22
10.0,2014-09-20 00:00:00,call,NVDA140920C00010000,7.93,10
10.0,2014-09-20 00:00:00,put,NVDA140920P00010000,0.02,52
10.0,2014-12-20 00:00:00,call,NVDA141220C00010000,8.69,2
10.0,2014-12-20 00:00:00,put,NVDA141220P00010000,0.05,28
10.0,2015-01-17 00:00:00,call,NVDA150117C00010000,9.37,10
10.0,2015-01-17 00:00:00,put,NVDA150117P00010000,0.05,5
10.0,2016-01-15 00:00:00,call,NVDA160115C00010000,9.25,1
10.0,2016-01-15 00:00:00,put,NVDA160115P00010000,0.19,30
10.5,2014-09-26 00:00:00,put,NVDA140926P00010500,0.02,3
11.0,2014-10-18 00:00:00,put,NVDA141018P00011000,0.02,2
11.0,2014-12-20 00:00:00,put,NVDA141220P00011000,0.03,1
11.0,2015-01-17 00:00:00,put,NVDA150117P00011000,0.08,20
11.5,2014-09-26 00:00:00,put,NVDA140926P00011500,0.03,13
12.0,2014-09-20 00:00:00,call,NVDA140920C00012000,7.25,3
12.0,2014-09-20 00:00:00,put,NVDA140920P00012000,0.02,1
12.0,2014-12-20 00:00:00,put,NVDA141220P00012000,0.1,10
12.0,2015-01-17 00:00:00,call,NVDA150117C00012000,7.32,40
12.0,2015-01-17 00:00:00,put,NVDA150117P00012000,0.06,14
12.0,2015-03-20 00:00:00,call,NVDA150320C00012000,5.95,3
12.0,2015-03-20 00:00:00,put,NVDA150320P00012000,0.15,3
13.0,2014-09-20 00:00:00,call,NVDA140920C00013000,6.1,6
