Strike,Expiry,Type,Symbol,Last,Vol
40.0,2015-01-17 00:00:00,call,OXY150117C00040000,62.0,10
40.0,2015-01-17 00:00:00,put,OXY150117P00040000,0.02,13
42.5,2015-01-17 00:00:00,put,OXY150117P00042500,0.02,8
45.0,2015-01-17 00:00:00,put,OXY150117P00045000,0.05,20
45.0,2016-01-15 00:00:00,call,OXY160115C00045000,57.0,15
45.0,2016-01-15 00:00:00,put,OXY160115P00045000,0.25,100
47.5,2015-01-17 00:00:00,put,OXY150117P00047500,0.05,27
50.0,2015-01-17 00:00:00,call,OXY150117C00050000,49.29,30
50.0,2015-01-17 00:00:00,put,OXY150117P00050000,0.05,6
50.0,2015-02-20 00:00:00,put,OXY150220P00050000,0.04,23
50.0,2016-01-15 00:00:00,call,OXY160115C00050000,45.02,2
50.0,2016-01-15 00:00:00,put,OXY160115P00050000,0.35,50
55.0,2015-01-17 00:00:00,put,OXY150117P00055000,0.05,10
55.0,2016-01-15 00:00:00,put,OXY160115P00055000,0.48,40
60.0,2014-11-22 00:00:00,put,OXY141122P00060000,0.04,56
60.0,2015-01-17 00:00:00,call,OXY150117C00060000,40.1,150
60.0,2015-01-17 00:00:00,put,OXY150117P00060000,0.06,1
60.0,2015-02-20 00:00:00,put,OXY150220P00060000,0.07,7
60.0,2016-01-15 00:00:00,call,OXY160115C00060000,40.0,10
60.0,2016-01-15 00:00:00,put,OXY160115P00060000,0.8,4
65.0,2014-11-22 00:00:00,put,OXY141122P00065000,0.06,2
65.0,2015-01-17 00:00:00,call,OXY150117C00065000,37.7,5
65.0,2015-01-17 00:00:00,put,OXY150117P00065000,0.1,1
65.0,2015-02-20 00:00:00,put,OXY150220P00065000,0.28,1
65.0,2016-01-15 00:00:00,call,OXY160115C00065000,38.76,3
65.0,2016-01-15 00:00:00,put,OXY160115P00065000,1.1,4
70.0,2014-11-22 00:00:00,put,OXY141122P00070000,0.07,10
70.0,2015-01-17 00:00:00,call,OXY150117C00070000,32.0,1
70.0,2015-01-17 00:00:00,put,OXY150117P00070000,0.11,25
70.0,2015-02-20 00:00:00,put,OXY150220P00070000,0.32,10
70.0,2016-01-15 00:00:00,call,OXY160115C00070000,30.42,2
70.0,2016-01-15 00:00:00,put,OXY160115P00070000,1.85,25
72.5,2015-01-17 00:00:00,call,OXY150117C00072500,27.6,250
72.5,2015-01-17 00:00:00,put,OXY150117P00072500,0.23,13
75.0,2014-11-22 00:00:00,put,OXY141122P00075000,0.1,1
75.0,2015-01-17 00:00:00,call,OXY150117C00075000,26.7,5
75.0,2015-01-17 00:00:00,put,OXY150117P00075000,0.2,10
75.0,2015-02-20 00:00:00,put,OXY150220P00075000,0.29,10
75.0,2016-01-15 00:00:00,call,OXY160115C00075000,24.95,2
75.0,2016-01-15 00:00:00,put,OXY160115P00075000,2.08,5
76.0,2014-09-20 00:00:00,put,OXY140920P00076000,0.01,55
77.5,2015-01-17 00:00:00,call,OXY150117C00077500,23.35,5
77.5,2015-01-17 00:00:00,put,OXY150117P00077500,0.28,13
79.0,2014-09-20 00:00:00,put,OXY140920P00079000,0.01,20
80.0,2014-09-20 00:00:00,call,OXY140920C00080000,19.67,6
80.0,2014-09-20 00:00:00,put,OXY140920P00080000,0.01,3
80.0,2014-11-22 00:00:00,call,OXY141122C00080000,20.5,4
80.0,2014-11-22 00:00:00,put,OXY141122P00080000,0.13,11
80.0,2015-01-17 00:00:00,call,OXY150117C00080000,22.18,1
80.0,2015-01-17 00:00:00,put,OXY150117P00080000,0.36,1
