Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,put,PBR150117P00003000,0.01,0
3.0,2016-01-15 00:00:00,call,PBR160115C00003000,12.4,15
5.0,2014-12-20 00:00:00,put,PBR141220P00005000,0.01,24
5.0,2015-01-17 00:00:00,call,PBR150117C00005000,10.63,10
5.0,2015-01-17 00:00:00,put,PBR150117P00005000,0.01,99
5.0,2016-01-15 00:00:00,call,PBR160115C00005000,14.2,5
5.0,2016-01-15 00:00:00,put,PBR160115P00005000,0.06,5
6.0,2014-10-18 00:00:00,put,PBR141018P00006000,0.04,5
6.0,2015-01-17 00:00:00,put,PBR150117P00006000,0.06,6
7.0,2014-10-18 00:00:00,call,PBR141018C00007000,10.15,15
8.0,2014-10-18 00:00:00,call,PBR141018C00008000,6.3,1
8.0,2014-10-18 00:00:00,put,PBR141018P00008000,0.03,6
8.0,2015-01-17 00:00:00,call,PBR150117C00008000,11.15,8
8.0,2015-01-17 00:00:00,put,PBR150117P00008000,0.05,100
8.0,2016-01-15 00:00:00,call,PBR160115C00008000,11.7,4
8.0,2016-01-15 00:00:00,put,PBR160115P00008000,0.15,13
9.0,2014-09-20 00:00:00,call,PBR140920C00009000,5.35,2
9.0,2014-09-20 00:00:00,put,PBR140920P00009000,0.03,50
9.0,2014-10-18 00:00:00,call,PBR141018C00009000,5.9,10
9.0,2014-10-18 00:00:00,put,PBR141018P00009000,0.04,50
9.0,2014-12-20 00:00:00,put,PBR141220P00009000,0.12,561
9.0,2015-01-17 00:00:00,put,PBR150117P00009000,0.13,561
10.0,2014-09-20 00:00:00,call,PBR140920C00010000,5.88,3
10.0,2014-09-20 00:00:00,put,PBR140920P00010000,0.08,37
10.0,2014-10-18 00:00:00,call,PBR141018C00010000,9.25,55
10.0,2014-10-18 00:00:00,put,PBR141018P00010000,0.03,1
10.0,2014-12-20 00:00:00,call,PBR141220C00010000,7.8,8
10.0,2014-12-20 00:00:00,put,PBR141220P00010000,0.1,1757
10.0,2015-01-17 00:00:00,call,PBR150117C00010000,9.72,98
10.0,2015-01-17 00:00:00,put,PBR150117P00010000,0.08,713
10.0,2016-01-15 00:00:00,call,PBR160115C00010000,9.6,52
10.0,2016-01-15 00:00:00,put,PBR160115P00010000,0.29,118
10.5,2014-09-26 00:00:00,put,PBR140926P00010500,0.05,1
11.0,2014-09-20 00:00:00,call,PBR140920C00011000,5.2,22
11.0,2014-09-20 00:00:00,put,PBR140920P00011000,0.04,10
11.0,2014-10-18 00:00:00,call,PBR141018C00011000,8.56,12
11.0,2014-10-18 00:00:00,put,PBR141018P00011000,0.05,1
11.0,2014-11-22 00:00:00,call,PBR141122C00011000,7.45,2
11.0,2014-11-22 00:00:00,put,PBR141122P00011000,0.23,3
11.0,2014-12-20 00:00:00,put,PBR141220P00011000,0.09,3
11.0,2015-01-17 00:00:00,call,PBR150117C00011000,5.0,15
11.0,2015-01-17 00:00:00,put,PBR150117P00011000,0.2,1000
11.0,2015-04-17 00:00:00,put,PBR150417P00011000,0.45,93
12.0,2014-09-20 00:00:00,call,PBR140920C00012000,5.78,8
12.0,2014-09-20 00:00:00,put,PBR140920P00012000,0.03,10
12.0,2014-09-26 00:00:00,put,PBR140926P00012000,0.08,1
12.0,2014-10-18 00:00:00,call,PBR141018C00012000,6.1,256
12.0,2014-10-18 00:00:00,put,PBR141018P00012000,0.09,50
12.0,2014-11-22 00:00:00,call,PBR141122C00012000,5.9,10
12.0,2014-11-22 00:00:00,put,PBR141122P00012000,0.19,20
12.0,2014-12-20 00:00:00,call,PBR141220C00012000,4.2,21
12.0,2014-12-20 00:00:00,put,PBR141220P00012000,0.45,3
12.0,2015-01-17 00:00:00,call,PBR150117C00012000,7.51,4
12.0,2015-01-17 00:00:00,put,PBR150117P00012000,0.24,1015
12.0,2015-04-17 00:00:00,put,PBR150417P00012000,0.24,18
12.5,2014-09-26 00:00:00,put,PBR140926P00012500,0.04,10
13.0,2014-09-05 00:00:00,call,PBR140905C00013000,3.7,10
13.0,2014-09-20 00:00:00,call,PBR140920C00013000,5.2,14
13.0,2014-09-20 00:00:00,put,PBR140920P00013000,0.02,23
13.0,2014-09-26 00:00:00,put,PBR140926P00013000,0.06,2
13.0,2014-10-18 00:00:00,call,PBR141018C00013000,6.6,2
13.0,2014-10-18 00:00:00,put,PBR141018P00013000,0.05,69
13.0,2014-11-22 00:00:00,call,PBR141122C00013000,5.37,14
13.0,2014-11-22 00:00:00,put,PBR141122P00013000,0.26,93
13.0,2014-12-20 00:00:00,call,PBR141220C00013000,6.55,1
13.0,2014-12-20 00:00:00,put,PBR141220P00013000,0.17,18
13.0,2015-01-17 00:00:00,call,PBR150117C00013000,6.74,71
13.0,2015-01-17 00:00:00,put,PBR150117P00013000,0.23,100
13.0,2015-04-17 00:00:00,call,PBR150417C00013000,6.45,1
13.0,2015-04-17 00:00:00,put,PBR150417P00013000,0.38,2225
13.0,2016-01-15 00:00:00,call,PBR160115C00013000,7.25,44
13.0,2016-01-15 00:00:00,put,PBR160115P00013000,0.82,308
13.5,2014-09-12 00:00:00,call,PBR140912C00013500,2.41,121
13.5,2014-09-12 00:00:00,put,PBR140912P00013500,0.13,200
13.5,2014-09-20 00:00:00,put,PBR140920P00013500,0.04,1
13.5,2014-09-26 00:00:00,put,PBR140926P00013500,0.08,4
14.0,2014-09-05 00:00:00,call,PBR140905C00014000,3.06,2
14.0,2014-09-05 00:00:00,put,PBR140905P00014000,0.24,123
14.0,2014-09-12 00:00:00,put,PBR140912P00014000,0.26,110
14.0,2014-09-20 00:00:00,call,PBR140920C00014000,5.35,28
14.0,2014-09-20 00:00:00,put,PBR140920P00014000,0.03,17
14.0,2014-09-26 00:00:00,put,PBR140926P00014000,0.05,2
14.0,2014-10-03 00:00:00,put,PBR141003P00014000,0.1,5
14.0,2014-10-18 00:00:00,call,PBR141018C00014000,5.2,27
14.0,2014-10-18 00:00:00,put,PBR141018P00014000,0.09,32
14.0,2014-11-22 00:00:00,call,PBR141122C00014000,4.33,30
14.0,2014-11-22 00:00:00,put,PBR141122P00014000,0.24,80
14.0,2014-12-20 00:00:00,call,PBR141220C00014000,5.5,1
