Strike,Expiry,Type,Symbol,Last,Vol
0.5,2014-11-22 00:00:00,call,PLUG141122C00000500,7.6,4
0.5,2014-12-20 00:00:00,put,PLUG141220P00000500,0.01,50
0.5,2015-01-17 00:00:00,call,PLUG150117C00000500,4.35,2
1.0,2014-09-20 00:00:00,call,PLUG140920C00001000,4.82,24
1.0,2014-09-20 00:00:00,put,PLUG140920P00001000,0.05,10
1.0,2014-10-18 00:00:00,call,PLUG141018C00001000,3.8,10
1.0,2014-10-18 00:00:00,put,PLUG141018P00001000,0.1,100
1.0,2014-12-20 00:00:00,put,PLUG141220P00001000,0.05,50
1.0,2015-01-17 00:00:00,call,PLUG150117C00001000,4.6,10
1.0,2015-01-17 00:00:00,put,PLUG150117P00001000,0.01,30
1.0,2015-03-20 00:00:00,call,PLUG150320C00001000,5.0,30
1.0,2016-01-15 00:00:00,call,PLUG160115C00001000,4.92,1
1.0,2016-01-15 00:00:00,put,PLUG160115P00001000,0.15,1
1.5,2014-09-20 00:00:00,put,PLUG140920P00001500,0.04,10
1.5,2014-10-18 00:00:00,put,PLUG141018P00001500,0.14,10
1.5,2014-11-22 00:00:00,put,PLUG141122P00001500,0.1,20
1.5,2014-12-20 00:00:00,put,PLUG141220P00001500,0.15,20
1.5,2015-01-17 00:00:00,call,PLUG150117C00001500,2.92,2
1.5,2015-01-17 00:00:00,put,PLUG150117P00001500,0.05,50
1.5,2016-01-15 00:00:00,call,PLUG160115C00001500,3.7,3
1.5,2016-01-15 00:00:00,put,PLUG160115P00001500,0.3,1
2.0,2014-09-20 00:00:00,call,PLUG140920C00002000,4.0,10
2.0,2014-09-20 00:00:00,put,PLUG140920P00002000,0.01,10
2.0,2014-10-18 00:00:00,call,PLUG141018C00002000,3.9,10
2.0,2014-10-18 00:00:00,put,PLUG141018P00002000,0.02,50
2.0,2014-11-22 00:00:00,call,PLUG141122C00002000,3.79,10
2.0,2014-11-22 00:00:00,put,PLUG141122P00002000,0.03,10
2.0,2014-12-20 00:00:00,call,PLUG141220C00002000,4.0,5
2.0,2014-12-20 00:00:00,put,PLUG141220P00002000,0.06,40
2.0,2015-01-17 00:00:00,call,PLUG150117C00002000,3.75,5
2.0,2015-01-17 00:00:00,put,PLUG150117P00002000,0.14,50
2.0,2016-01-15 00:00:00,call,PLUG160115C00002000,3.7,2
2.0,2016-01-15 00:00:00,put,PLUG160115P00002000,0.48,10
2.5,2014-09-20 00:00:00,call,PLUG140920C00002500,3.11,16
2.5,2014-09-20 00:00:00,put,PLUG140920P00002500,0.04,160
2.5,2014-10-18 00:00:00,put,PLUG141018P00002500,0.02,6
2.5,2014-11-22 00:00:00,call,PLUG141122C00002500,3.15,2
2.5,2014-11-22 00:00:00,put,PLUG141122P00002500,0.05,1
2.5,2014-12-20 00:00:00,call,PLUG141220C00002500,3.41,1
2.5,2014-12-20 00:00:00,put,PLUG141220P00002500,0.14,2
2.5,2015-01-17 00:00:00,call,PLUG150117C00002500,3.52,4
2.5,2015-01-17 00:00:00,put,PLUG150117P00002500,0.13,5
2.5,2015-03-20 00:00:00,put,PLUG150320P00002500,0.2,20
2.5,2016-01-15 00:00:00,call,PLUG160115C00002500,3.7,3
2.5,2016-01-15 00:00:00,put,PLUG160115P00002500,0.55,5
3.0,2014-09-20 00:00:00,call,PLUG140920C00003000,2.55,1
3.0,2014-09-20 00:00:00,put,PLUG140920P00003000,0.02,4
