Strike,Expiry,Type,Symbol,Last,Vol
30.0,2015-01-17 00:00:00,call,QCOM150117C00030000,46.4,2
30.0,2015-01-17 00:00:00,put,QCOM150117P00030000,0.04,10
35.0,2015-01-17 00:00:00,call,QCOM150117C00035000,41.26,8
35.0,2015-01-17 00:00:00,put,QCOM150117P00035000,0.02,10
40.0,2015-01-17 00:00:00,call,QCOM150117C00040000,36.06,32
40.0,2015-01-17 00:00:00,put,QCOM150117P00040000,0.04,170
40.0,2016-01-15 00:00:00,call,QCOM160115C00040000,40.1,2
40.0,2016-01-15 00:00:00,put,QCOM160115P00040000,0.39,1
45.0,2015-01-17 00:00:00,call,QCOM150117C00045000,31.15,26
45.0,2015-01-17 00:00:00,put,QCOM150117P00045000,0.05,191
45.0,2016-01-15 00:00:00,call,QCOM160115C00045000,31.25,13
45.0,2016-01-15 00:00:00,put,QCOM160115P00045000,0.7,2
50.0,2014-09-20 00:00:00,put,QCOM140920P00050000,0.03,4
50.0,2014-11-22 00:00:00,put,QCOM141122P00050000,0.04,25
50.0,2015-01-17 00:00:00,call,QCOM150117C00050000,26.15,35
50.0,2015-01-17 00:00:00,put,QCOM150117P00050000,0.09,33
50.0,2015-04-17 00:00:00,put,QCOM150417P00050000,0.2,5
50.0,2016-01-15 00:00:00,call,QCOM160115C00050000,26.39,1
50.0,2016-01-15 00:00:00,put,QCOM160115P00050000,0.96,202
52.5,2015-01-17 00:00:00,call,QCOM150117C00052500,23.95,10
52.5,2015-01-17 00:00:00,put,QCOM150117P00052500,0.1,30
55.0,2014-10-18 00:00:00,call,QCOM141018C00055000,21.25,7
55.0,2014-10-18 00:00:00,put,QCOM141018P00055000,0.01,4
55.0,2015-01-17 00:00:00,call,QCOM150117C00055000,21.24,18
55.0,2015-01-17 00:00:00,put,QCOM150117P00055000,0.13,32
55.0,2015-04-17 00:00:00,put,QCOM150417P00055000,0.38,4
55.0,2016-01-15 00:00:00,call,QCOM160115C00055000,22.2,12
55.0,2016-01-15 00:00:00,put,QCOM160115P00055000,1.55,8
57.5,2015-01-17 00:00:00,call,QCOM150117C00057500,18.79,3
57.5,2015-01-17 00:00:00,put,QCOM150117P00057500,0.19,4
57.5,2016-01-15 00:00:00,call,QCOM160115C00057500,18.8,5
57.5,2016-01-15 00:00:00,put,QCOM160115P00057500,1.94,7
60.0,2014-09-20 00:00:00,call,QCOM140920C00060000,16.4,30
60.0,2014-09-20 00:00:00,put,QCOM140920P00060000,0.04,78
60.0,2014-10-18 00:00:00,call,QCOM141018C00060000,16.4,45
60.0,2014-10-18 00:00:00,put,QCOM141018P00060000,0.03,43
60.0,2014-11-22 00:00:00,put,QCOM141122P00060000,0.11,290
60.0,2015-01-17 00:00:00,call,QCOM150117C00060000,16.34,258
60.0,2015-01-17 00:00:00,put,QCOM150117P00060000,0.23,20
60.0,2015-04-17 00:00:00,put,QCOM150417P00060000,0.65,10
60.0,2016-01-15 00:00:00,call,QCOM160115C00060000,17.2,3
60.0,2016-01-15 00:00:00,put,QCOM160115P00060000,2.41,6
62.5,2015-01-17 00:00:00,call,QCOM150117C00062500,13.92,345
