Strike,Expiry,Type,Symbol,Last,Vol
34.63,2014-12-20 00:00:00,call,QQQ141220C00034630,37.0,0
34.63,2014-12-20 00:00:00,put,QQQ141220P00034630,0.01,10
34.63,2015-01-17 00:00:00,call,QQQ150117C00034630,58.51,200
34.63,2015-01-17 00:00:00,put,QQQ150117P00034630,0.04,10
35.0,2014-12-20 00:00:00,call,QQQ141220C00035000,37.0,0
35.0,2014-12-20 00:00:00,put,QQQ141220P00035000,0.04,40
35.0,2015-01-17 00:00:00,call,QQQ150117C00035000,49.95,0
35.0,2015-01-17 00:00:00,put,QQQ150117P00035000,0.04,0
39.63,2014-12-20 00:00:00,put,QQQ141220P00039630,0.01,10
39.63,2015-01-17 00:00:00,call,QQQ150117C00039630,55.15,2
39.63,2015-01-17 00:00:00,put,QQQ150117P00039630,0.03,10
40.0,2014-12-20 00:00:00,put,QQQ141220P00040000,0.09,0
40.0,2015-01-17 00:00:00,call,QQQ150117C00040000,47.46,0
40.0,2015-01-17 00:00:00,put,QQQ150117P00040000,0.14,0
44.63,2014-09-20 00:00:00,put,QQQ140920P00044630,0.02,5
44.63,2014-12-20 00:00:00,call,QQQ141220C00044630,54.9,6
44.63,2014-12-20 00:00:00,put,QQQ141220P00044630,0.01,100
44.63,2015-01-17 00:00:00,put,QQQ150117P00044630,0.08,3
44.63,2015-06-19 00:00:00,put,QQQ150619P00044630,0.04,319
44.63,2015-12-18 00:00:00,put,QQQ151218P00044630,0.21,11
44.63,2016-01-15 00:00:00,call,QQQ160115C00044630,49.46,4
44.63,2016-01-15 00:00:00,put,QQQ160115P00044630,0.1,139
45.0,2014-09-20 00:00:00,put,QQQ140920P00045000,0.05,0
45.0,2014-12-20 00:00:00,call,QQQ141220C00045000,41.94,0
45.0,2014-12-20 00:00:00,put,QQQ141220P00045000,0.13,0
45.0,2015-01-17 00:00:00,call,QQQ150117C00045000,40.72,0
45.0,2015-01-17 00:00:00,put,QQQ150117P00045000,0.11,1
45.0,2015-06-19 00:00:00,put,QQQ150619P00045000,0.24,300
45.0,2015-12-18 00:00:00,put,QQQ151218P00045000,0.58,0
45.0,2016-01-15 00:00:00,call,QQQ160115C00045000,42.77,0
45.0,2016-01-15 00:00:00,put,QQQ160115P00045000,0.54,8
45.63,2014-12-31 00:00:00,put,QQQ141231P00045630,0.11,1
46.0,2014-09-20 00:00:00,put,QQQ140920P00046000,0.03,9
46.0,2014-12-31 00:00:00,put,QQQ141231P00046000,0.19,0
46.63,2014-12-31 00:00:00,put,QQQ141231P00046630,0.02,60
47.63,2014-12-31 00:00:00,put,QQQ141231P00047630,0.01,10
48.0,2014-09-20 00:00:00,put,QQQ140920P00048000,0.01,15
48.63,2014-12-31 00:00:00,put,QQQ141231P00048630,0.02,1
49.63,2014-09-20 00:00:00,put,QQQ140920P00049630,0.01,10
49.63,2014-09-30 00:00:00,put,QQQ140930P00049630,0.13,0
49.63,2014-12-20 00:00:00,call,QQQ141220C00049630,46.36,8
49.63,2014-12-20 00:00:00,put,QQQ141220P00049630,0.01,10
49.63,2015-01-17 00:00:00,call,QQQ150117C00049630,50.0,1
49.63,2015-01-17 00:00:00,put,QQQ150117P00049630,0.01,529
49.63,2015-06-19 00:00:00,put,QQQ150619P00049630,0.07,1
49.63,2015-12-18 00:00:00,call,QQQ151218C00049630,50.16,8
49.63,2015-12-18 00:00:00,put,QQQ151218P00049630,0.2,2
49.63,2016-01-15 00:00:00,call,QQQ160115C00049630,44.69,3
49.63,2016-01-15 00:00:00,put,QQQ160115P00049630,0.23,2
50.0,2014-09-20 00:00:00,put,QQQ140920P00050000,0.11,0
50.0,2014-09-30 00:00:00,put,QQQ140930P00050000,0.13,0
50.0,2014-12-20 00:00:00,call,QQQ141220C00050000,32.95,0
50.0,2014-12-20 00:00:00,put,QQQ141220P00050000,0.22,0
