Strike,Expiry,Type,Symbol,Last,Vol
5.0,2016-01-15 00:00:00,put,SCTY160115P00005000,0.18,10
8.0,2016-01-15 00:00:00,call,SCTY160115C00008000,47.35,1
10.0,2015-01-17 00:00:00,call,SCTY150117C00010000,61.4,1
10.0,2015-01-17 00:00:00,put,SCTY150117P00010000,0.1,10
10.0,2016-01-15 00:00:00,call,SCTY160115C00010000,39.0,1
10.0,2016-01-15 00:00:00,put,SCTY160115P00010000,0.1,1
13.0,2015-01-17 00:00:00,put,SCTY150117P00013000,0.08,4
15.0,2015-01-17 00:00:00,call,SCTY150117C00015000,72.13,1
15.0,2015-01-17 00:00:00,put,SCTY150117P00015000,0.12,10
15.0,2016-01-15 00:00:00,put,SCTY160115P00015000,0.22,20
18.0,2015-01-17 00:00:00,put,SCTY150117P00018000,0.03,1
18.0,2016-01-15 00:00:00,call,SCTY160115C00018000,57.3,4
18.0,2016-01-15 00:00:00,put,SCTY160115P00018000,0.55,4
20.0,2014-10-18 00:00:00,put,SCTY141018P00020000,0.46,1
20.0,2015-01-17 00:00:00,call,SCTY150117C00020000,48.5,3
20.0,2015-01-17 00:00:00,put,SCTY150117P00020000,0.1,10
20.0,2015-04-17 00:00:00,call,SCTY150417C00020000,51.75,10
20.0,2016-01-15 00:00:00,call,SCTY160115C00020000,50.5,1
20.0,2016-01-15 00:00:00,put,SCTY160115P00020000,0.62,10
23.0,2015-01-17 00:00:00,call,SCTY150117C00023000,28.0,0
23.0,2015-01-17 00:00:00,put,SCTY150117P00023000,0.1,1
23.0,2016-01-15 00:00:00,call,SCTY160115C00023000,55.55,10
23.0,2016-01-15 00:00:00,put,SCTY160115P00023000,0.8,143
24.0,2014-10-18 00:00:00,put,SCTY141018P00024000,0.13,1
25.0,2014-10-18 00:00:00,call,SCTY141018C00025000,24.15,2
25.0,2014-10-18 00:00:00,put,SCTY141018P00025000,0.1,12
25.0,2015-01-17 00:00:00,call,SCTY150117C00025000,46.0,10
25.0,2015-01-17 00:00:00,put,SCTY150117P00025000,0.1,19
25.0,2016-01-15 00:00:00,call,SCTY160115C00025000,47.0,1
25.0,2016-01-15 00:00:00,put,SCTY160115P00025000,1.0,1
27.0,2014-10-18 00:00:00,put,SCTY141018P00027000,0.07,8
27.0,2015-01-17 00:00:00,put,SCTY150117P00027000,0.25,10
28.0,2014-10-18 00:00:00,put,SCTY141018P00028000,0.15,30
28.0,2015-01-17 00:00:00,call,SCTY150117C00028000,27.5,5
28.0,2015-01-17 00:00:00,put,SCTY150117P00028000,0.15,1
28.0,2016-01-15 00:00:00,call,SCTY160115C00028000,38.0,1
28.0,2016-01-15 00:00:00,put,SCTY160115P00028000,1.45,3
29.0,2015-01-17 00:00:00,put,SCTY150117P00029000,0.24,1
30.0,2014-10-18 00:00:00,call,SCTY141018C00030000,42.56,1
30.0,2014-10-18 00:00:00,put,SCTY141018P00030000,0.06,9
30.0,2015-01-17 00:00:00,call,SCTY150117C00030000,42.7,2
30.0,2015-01-17 00:00:00,put,SCTY150117P00030000,0.28,4
30.0,2016-01-15 00:00:00,call,SCTY160115C00030000,42.0,15
30.0,2016-01-15 00:00:00,put,SCTY160115P00030000,1.8,10
31.0,2014-10-18 00:00:00,put,SCTY141018P00031000,0.36,2
31.0,2015-01-17 00:00:00,call,SCTY150117C00031000,39.9,1
31.0,2015-01-17 00:00:00,put,SCTY150117P00031000,0.27,2
32.0,2015-01-17 00:00:00,put,SCTY150117P00032000,0.33,2
33.0,2015-01-17 00:00:00,call,SCTY150117C00033000,32.78,2
33.0,2015-01-17 00:00:00,put,SCTY150117P00033000,0.43,11
33.0,2016-01-15 00:00:00,call,SCTY160115C00033000,39.9,6
33.0,2016-01-15 00:00:00,put,SCTY160115P00033000,2.55,10
34.0,2015-01-17 00:00:00,put,SCTY150117P00034000,0.35,15
35.0,2014-10-18 00:00:00,call,SCTY141018C00035000,34.8,1
35.0,2014-10-18 00:00:00,put,SCTY141018P00035000,0.03,2
