Strike,Expiry,Type,Symbol,Last,Vol
20.0,2015-01-17 00:00:00,call,TEVA150117C00020000,32.4,1
20.0,2015-01-17 00:00:00,put,TEVA150117P00020000,0.05,0
20.0,2016-01-15 00:00:00,put,TEVA160115P00020000,0.15,3
22.5,2015-01-17 00:00:00,put,TEVA150117P00022500,0.02,2
22.5,2016-01-15 00:00:00,put,TEVA160115P00022500,0.28,3
25.0,2015-01-17 00:00:00,put,TEVA150117P00025000,0.03,5
25.0,2016-01-15 00:00:00,put,TEVA160115P00025000,0.2,54
27.5,2015-01-17 00:00:00,call,TEVA150117C00027500,24.68,12
27.5,2015-01-17 00:00:00,put,TEVA150117P00027500,0.04,1
27.5,2016-01-15 00:00:00,call,TEVA160115C00027500,22.8,10
27.5,2016-01-15 00:00:00,put,TEVA160115P00027500,0.23,43
30.0,2014-09-20 00:00:00,put,TEVA140920P00030000,0.01,18
30.0,2015-01-17 00:00:00,call,TEVA150117C00030000,22.3,35
30.0,2015-01-17 00:00:00,put,TEVA150117P00030000,0.04,1
30.0,2016-01-15 00:00:00,call,TEVA160115C00030000,22.35,95
30.0,2016-01-15 00:00:00,put,TEVA160115P00030000,0.46,12
31.0,2014-09-20 00:00:00,put,TEVA140920P00031000,0.35,0
32.0,2014-09-20 00:00:00,put,TEVA140920P00032000,0.4,0
32.5,2015-01-17 00:00:00,call,TEVA150117C00032500,19.7,40
32.5,2015-01-17 00:00:00,put,TEVA150117P00032500,0.08,38
32.5,2016-01-15 00:00:00,call,TEVA160115C00032500,20.8,5
32.5,2016-01-15 00:00:00,put,TEVA160115P00032500,0.7,1
33.0,2014-09-20 00:00:00,put,TEVA140920P00033000,0.17,144
34.0,2014-09-20 00:00:00,put,TEVA140920P00034000,0.02,12
35.0,2014-09-20 00:00:00,put,TEVA140920P00035000,0.02,4
35.0,2014-11-22 00:00:00,put,TEVA141122P00035000,0.05,9
35.0,2014-12-20 00:00:00,put,TEVA141220P00035000,0.1,65
35.0,2015-01-17 00:00:00,call,TEVA150117C00035000,18.85,77
35.0,2015-01-17 00:00:00,put,TEVA150117P00035000,0.12,32
35.0,2016-01-15 00:00:00,call,TEVA160115C00035000,14.46,20
35.0,2016-01-15 00:00:00,put,TEVA160115P00035000,0.8,11
36.0,2014-09-20 00:00:00,call,TEVA140920C00036000,16.17,8
36.0,2014-09-20 00:00:00,put,TEVA140920P00036000,0.08,20
37.0,2014-09-20 00:00:00,put,TEVA140920P00037000,0.02,2
37.5,2015-01-17 00:00:00,call,TEVA150117C00037500,15.0,10
37.5,2015-01-17 00:00:00,put,TEVA150117P00037500,0.17,1
37.5,2016-01-15 00:00:00,call,TEVA160115C00037500,15.5,2
37.5,2016-01-15 00:00:00,put,TEVA160115P00037500,1.15,1
38.0,2014-09-20 00:00:00,put,TEVA140920P00038000,0.02,5
39.0,2014-09-20 00:00:00,put,TEVA140920P00039000,0.04,5
40.0,2014-09-20 00:00:00,put,TEVA140920P00040000,0.03,3
40.0,2014-10-18 00:00:00,put,TEVA141018P00040000,0.07,31
40.0,2014-11-22 00:00:00,put,TEVA141122P00040000,0.15,10
40.0,2014-12-20 00:00:00,call,TEVA141220C00040000,13.83,2
40.0,2014-12-20 00:00:00,put,TEVA141220P00040000,0.21,10
40.0,2015-01-17 00:00:00,call,TEVA150117C00040000,12.37,28
40.0,2015-01-17 00:00:00,put,TEVA150117P00040000,0.23,255
40.0,2015-03-20 00:00:00,call,TEVA150320C00040000,11.0,30
40.0,2015-03-20 00:00:00,put,TEVA150320P00040000,0.43,4
40.0,2016-01-15 00:00:00,call,TEVA160115C00040000,13.74,6
40.0,2016-01-15 00:00:00,put,TEVA160115P00040000,1.58,52
41.0,2014-09-20 00:00:00,put,TEVA140920P00041000,0.04,30
42.0,2014-09-20 00:00:00,put,TEVA140920P00042000,0.03,20
42.5,2015-01-17 00:00:00,call,TEVA150117C00042500,10.1,9
42.5,2015-01-17 00:00:00,put,TEVA150117P00042500,0.41,600
42.5,2016-01-15 00:00:00,call,TEVA160115C00042500,11.8,2
42.5,2016-01-15 00:00:00,put,TEVA160115P00042500,2.02,11
