Strike,Expiry,Type,Symbol,Last,Vol
5.0,2015-01-17 00:00:00,call,UAL150117C00005000,39.0,0
5.0,2015-01-17 00:00:00,put,UAL150117P00005000,0.02,16
8.0,2015-01-17 00:00:00,call,UAL150117C00008000,38.65,0
8.0,2015-01-17 00:00:00,put,UAL150117P00008000,0.02,12
10.0,2015-01-17 00:00:00,call,UAL150117C00010000,35.56,1
10.0,2015-01-17 00:00:00,put,UAL150117P00010000,0.03,31
13.0,2015-01-17 00:00:00,call,UAL150117C00013000,32.35,6
13.0,2015-01-17 00:00:00,put,UAL150117P00013000,0.04,3
15.0,2015-01-17 00:00:00,call,UAL150117C00015000,28.9,3
15.0,2015-01-17 00:00:00,put,UAL150117P00015000,0.05,10
18.0,2015-01-17 00:00:00,call,UAL150117C00018000,30.08,2
18.0,2015-01-17 00:00:00,put,UAL150117P00018000,0.08,2
18.0,2016-01-15 00:00:00,call,UAL160115C00018000,20.05,19
18.0,2016-01-15 00:00:00,put,UAL160115P00018000,0.4,10
19.0,2014-12-20 00:00:00,put,UAL141220P00019000,0.04,67
19.0,2015-01-17 00:00:00,call,UAL150117C00019000,20.5,3
19.0,2015-01-17 00:00:00,put,UAL150117P00019000,0.07,2
20.0,2014-12-20 00:00:00,call,UAL141220C00020000,28.25,6
20.0,2014-12-20 00:00:00,put,UAL141220P00020000,0.08,16
20.0,2015-01-17 00:00:00,call,UAL150117C00020000,24.05,1
20.0,2015-01-17 00:00:00,put,UAL150117P00020000,0.15,5
20.0,2016-01-15 00:00:00,call,UAL160115C00020000,28.55,10
20.0,2016-01-15 00:00:00,put,UAL160115P00020000,0.54,56
21.0,2014-09-20 00:00:00,call,UAL140920C00021000,18.7,2
21.0,2014-09-20 00:00:00,put,UAL140920P00021000,0.02,10
21.0,2014-12-20 00:00:00,call,UAL141220C00021000,22.55,11
21.0,2014-12-20 00:00:00,put,UAL141220P00021000,0.1,100
21.0,2015-01-17 00:00:00,put,UAL150117P00021000,0.19,2
22.0,2015-01-17 00:00:00,call,UAL150117C00022000,20.55,10
22.0,2015-01-17 00:00:00,put,UAL150117P00022000,0.11,68
23.0,2014-09-20 00:00:00,call,UAL140920C00023000,21.65,26
23.0,2014-09-20 00:00:00,put,UAL140920P00023000,0.03,1
23.0,2014-12-20 00:00:00,call,UAL141220C00023000,25.9,6
23.0,2014-12-20 00:00:00,put,UAL141220P00023000,0.19,23
23.0,2015-01-17 00:00:00,call,UAL150117C00023000,15.85,5
23.0,2015-01-17 00:00:00,put,UAL150117P00023000,0.12,2
23.0,2015-03-20 00:00:00,call,UAL150320C00023000,21.05,1
23.0,2015-03-20 00:00:00,put,UAL150320P00023000,0.35,2
23.0,2016-01-15 00:00:00,call,UAL160115C00023000,26.59,4
23.0,2016-01-15 00:00:00,put,UAL160115P00023000,0.8,50
24.0,2014-09-20 00:00:00,call,UAL140920C00024000,20.5,3
24.0,2014-09-20 00:00:00,put,UAL140920P00024000,0.07,17
24.0,2014-10-18 00:00:00,put,UAL141018P00024000,0.04,16
24.0,2014-12-20 00:00:00,call,UAL141220C00024000,18.05,5
24.0,2014-12-20 00:00:00,put,UAL141220P00024000,0.34,40
24.0,2015-01-17 00:00:00,call,UAL150117C00024000,22.0,10
24.0,2015-01-17 00:00:00,put,UAL150117P00024000,0.15,35
24.0,2015-03-20 00:00:00,put,UAL150320P00024000,0.33,19
25.0,2014-09-20 00:00:00,call,UAL140920C00025000,22.4,20
25.0,2014-09-20 00:00:00,put,UAL140920P00025000,0.02,1
25.0,2014-10-18 00:00:00,put,UAL141018P00025000,0.06,27
25.0,2014-12-20 00:00:00,call,UAL141220C00025000,18.45,6
25.0,2014-12-20 00:00:00,put,UAL141220P00025000,0.4,2
25.0,2015-01-17 00:00:00,call,UAL150117C00025000,23.0,25
25.0,2015-01-17 00:00:00,put,UAL150117P00025000,0.26,136
25.0,2016-01-15 00:00:00,call,UAL160115C00025000,23.25,16
25.0,2016-01-15 00:00:00,put,UAL160115P00025000,0.91,3
26.0,2014-09-20 00:00:00,call,UAL140920C00026000,19.95,48
26.0,2014-09-20 00:00:00,put,UAL140920P00026000,0.02,46
26.0,2014-12-20 00:00:00,call,UAL141220C00026000,17.85,17
26.0,2014-12-20 00:00:00,put,UAL141220P00026000,0.12,100
26.0,2015-01-17 00:00:00,call,UAL150117C00026000,12.9,5
26.0,2015-01-17 00:00:00,put,UAL150117P00026000,0.25,6
26.0,2015-03-20 00:00:00,put,UAL150320P00026000,0.59,20
27.0,2014-09-20 00:00:00,call,UAL140920C00027000,19.1,10
27.0,2014-09-20 00:00:00,put,UAL140920P00027000,0.02,32
27.0,2014-12-20 00:00:00,call,UAL141220C00027000,17.45,5
27.0,2014-12-20 00:00:00,put,UAL141220P00027000,0.16,23
27.0,2015-01-17 00:00:00,call,UAL150117C00027000,13.35,9
27.0,2015-01-17 00:00:00,put,UAL150117P00027000,0.22,11
27.0,2015-03-20 00:00:00,put,UAL150320P00027000,0.61,1
28.0,2014-09-20 00:00:00,call,UAL140920C00028000,17.85,8
28.0,2014-09-20 00:00:00,put,UAL140920P00028000,0.03,78
28.0,2014-10-18 00:00:00,put,UAL141018P00028000,0.07,10
28.0,2014-12-20 00:00:00,call,UAL141220C00028000,11.5,2
28.0,2014-12-20 00:00:00,put,UAL141220P00028000,0.2,3
28.0,2015-01-17 00:00:00,call,UAL150117C00028000,19.49,10
28.0,2015-01-17 00:00:00,put,UAL150117P00028000,0.25,3
28.0,2015-03-20 00:00:00,call,UAL150320C00028000,15.7,11
28.0,2015-03-20 00:00:00,put,UAL150320P00028000,0.6,1
28.0,2016-01-15 00:00:00,call,UAL160115C00028000,19.5,8
28.0,2016-01-15 00:00:00,put,UAL160115P00028000,1.27,10
29.0,2014-09-20 00:00:00,call,UAL140920C00029000,16.2,0
29.0,2014-09-20 00:00:00,put,UAL140920P00029000,0.02,16
29.0,2014-10-18 00:00:00,put,UAL141018P00029000,0.07,25
29.0,2014-12-20 00:00:00,call,UAL141220C00029000,10.5,3
29.0,2014-12-20 00:00:00,put,UAL141220P00029000,0.25,1
29.0,2015-01-17 00:00:00,call,UAL150117C00029000,11.0,2
29.0,2015-01-17 00:00:00,put,UAL150117P00029000,0.4,5
29.0,2015-03-20 00:00:00,call,UAL150320C00029000,15.1,10
29.0,2015-03-20 00:00:00,put,UAL150320P00029000,0.67,20
30.0,2014-09-20 00:00:00,call,UAL140920C00030000,17.6,3
30.0,2014-09-20 00:00:00,put,UAL140920P00030000,0.02,21
30.0,2014-12-20 00:00:00,call,UAL141220C00030000,16.1,5
30.0,2014-12-20 00:00:00,put,UAL141220P00030000,0.29,1
30.0,2015-01-17 00:00:00,call,UAL150117C00030000,18.8,1
30.0,2015-01-17 00:00:00,put,UAL150117P00030000,0.36,1
30.0,2015-03-20 00:00:00,call,UAL150320C00030000,18.44,5
30.0,2015-03-20 00:00:00,put,UAL150320P00030000,1.25,10
30.0,2016-01-15 00:00:00,call,UAL160115C00030000,17.95,6
30.0,2016-01-15 00:00:00,put,UAL160115P00030000,2.0,10
31.0,2014-09-20 00:00:00,call,UAL140920C00031000,14.95,27
31.0,2014-09-20 00:00:00,put,UAL140920P00031000,0.04,2
31.0,2014-10-18 00:00:00,put,UAL141018P00031000,0.1,1
31.0,2014-12-20 00:00:00,call,UAL141220C00031000,13.95,1
31.0,2014-12-20 00:00:00,put,UAL141220P00031000,0.35,1
31.0,2015-01-17 00:00:00,call,UAL150117C00031000,13.6,9
31.0,2015-01-17 00:00:00,put,UAL150117P00031000,0.4,30
31.0,2015-03-20 00:00:00,call,UAL150320C00031000,16.5,9
31.0,2015-03-20 00:00:00,put,UAL150320P00031000,1.4,27
32.0,2014-09-20 00:00:00,call,UAL140920C00032000,14.0,80
32.0,2014-09-20 00:00:00,put,UAL140920P00032000,0.01,6
32.0,2014-12-20 00:00:00,call,UAL141220C00032000,16.75,5
32.0,2014-12-20 00:00:00,put,UAL141220P00032000,0.5,10
32.0,2015-01-17 00:00:00,call,UAL150117C00032000,16.2,10
32.0,2015-01-17 00:00:00,put,UAL150117P00032000,0.69,9
32.0,2015-03-20 00:00:00,call,UAL150320C00032000,15.4,5
32.0,2015-03-20 00:00:00,put,UAL150320P00032000,0.78,4
32.0,2016-01-15 00:00:00,call,UAL160115C00032000,19.0,3
32.0,2016-01-15 00:00:00,put,UAL160115P00032000,2.53,10
33.0,2014-09-05 00:00:00,put,UAL140905P00033000,0.01,16
33.0,2014-09-20 00:00:00,call,UAL140920C00033000,9.85,2
33.0,2014-09-20 00:00:00,put,UAL140920P00033000,0.01,2
33.0,2014-10-18 00:00:00,put,UAL141018P00033000,0.12,18
33.0,2014-12-20 00:00:00,call,UAL141220C00033000,13.2,5
33.0,2014-12-20 00:00:00,put,UAL141220P00033000,1.3,3
33.0,2015-01-17 00:00:00,call,UAL150117C00033000,14.92,3
33.0,2015-01-17 00:00:00,put,UAL150117P00033000,1.02,12
33.0,2015-03-20 00:00:00,call,UAL150320C00033000,13.8,2
34.0,2014-09-05 00:00:00,put,UAL140905P00034000,0.01,13
34.0,2014-09-20 00:00:00,call,UAL140920C00034000,12.8,16
34.0,2014-09-20 00:00:00,put,UAL140920P00034000,0.05,6
34.0,2014-10-18 00:00:00,put,UAL141018P00034000,0.19,4
34.0,2014-12-20 00:00:00,call,UAL141220C00034000,11.3,10
34.0,2014-12-20 00:00:00,put,UAL141220P00034000,0.54,40
34.0,2015-01-17 00:00:00,call,UAL150117C00034000,12.9,6
34.0,2015-01-17 00:00:00,put,UAL150117P00034000,0.67,92
34.0,2015-03-20 00:00:00,put,UAL150320P00034000,1.27,21
35.0,2014-09-05 00:00:00,put,UAL140905P00035000,0.01,61
