Strike,Expiry,Type,Symbol,Last,Vol
17.0,2016-01-15 00:00:00,put,USO160115P00017000,0.08,10
18.0,2016-01-15 00:00:00,put,USO160115P00018000,0.08,45
19.0,2016-01-15 00:00:00,put,USO160115P00019000,0.09,10
20.0,2014-10-18 00:00:00,put,USO141018P00020000,0.04,0
20.0,2015-01-17 00:00:00,call,USO150117C00020000,17.91,2
20.0,2015-01-17 00:00:00,put,USO150117P00020000,0.01,40
20.0,2016-01-15 00:00:00,call,USO160115C00020000,13.6,1
20.0,2016-01-15 00:00:00,put,USO160115P00020000,0.11,22
21.0,2014-10-18 00:00:00,put,USO141018P00021000,0.11,0
21.0,2016-01-15 00:00:00,put,USO160115P00021000,0.13,24
22.0,2014-10-18 00:00:00,put,USO141018P00022000,0.02,30
23.0,2014-10-18 00:00:00,put,USO141018P00023000,0.06,2
23.0,2016-01-15 00:00:00,call,USO160115C00023000,11.7,0
23.0,2016-01-15 00:00:00,put,USO160115P00023000,0.3,2
24.0,2014-10-18 00:00:00,put,USO141018P00024000,0.02,72
24.0,2015-04-17 00:00:00,put,USO150417P00024000,0.05,15
24.0,2016-01-15 00:00:00,put,USO160115P00024000,0.35,2
25.0,2014-09-20 00:00:00,call,USO140920C00025000,11.25,117
25.0,2014-09-20 00:00:00,put,USO140920P00025000,0.01,3
25.0,2014-10-18 00:00:00,call,USO141018C00025000,14.04,10
25.0,2014-10-18 00:00:00,put,USO141018P00025000,0.12,60
25.0,2015-01-17 00:00:00,call,USO150117C00025000,10.06,60
25.0,2015-01-17 00:00:00,put,USO150117P00025000,0.02,120
25.0,2015-04-17 00:00:00,put,USO150417P00025000,0.1,10
25.0,2016-01-15 00:00:00,call,USO160115C00025000,10.2,10
25.0,2016-01-15 00:00:00,put,USO160115P00025000,0.46,1
25.5,2014-10-18 00:00:00,call,USO141018C00025500,10.1,1
25.5,2014-10-18 00:00:00,put,USO141018P00025500,0.14,10
26.0,2014-09-20 00:00:00,put,USO140920P00026000,0.02,200
26.0,2014-10-18 00:00:00,put,USO141018P00026000,0.02,850
26.0,2015-01-17 00:00:00,call,USO150117C00026000,9.65,10
26.0,2015-01-17 00:00:00,put,USO150117P00026000,0.05,6
26.0,2016-01-15 00:00:00,put,USO160115P00026000,0.4,80
26.5,2014-10-18 00:00:00,call,USO141018C00026500,8.45,263
26.5,2014-10-18 00:00:00,put,USO141018P00026500,0.23,0
26.5,2015-01-17 00:00:00,call,USO150117C00026500,8.5,3
27.0,2014-09-20 00:00:00,put,USO140920P00027000,0.01,10
27.0,2014-10-18 00:00:00,put,USO141018P00027000,0.01,7
27.0,2014-11-22 00:00:00,put,USO141122P00027000,0.04,1
27.0,2015-01-17 00:00:00,put,USO150117P00027000,0.1,32
27.0,2015-04-17 00:00:00,put,USO150417P00027000,0.24,7
27.0,2016-01-15 00:00:00,call,USO160115C00027000,9.09,3
27.0,2016-01-15 00:00:00,put,USO160115P00027000,0.6,5
27.5,2014-10-18 00:00:00,put,USO141018P00027500,0.05,20
28.0,2014-09-20 00:00:00,put,USO140920P00028000,0.01,10
28.0,2014-10-18 00:00:00,put,USO141018P00028000,0.01,5
28.0,2015-01-17 00:00:00,call,USO150117C00028000,8.1,3
28.0,2015-01-17 00:00:00,put,USO150117P00028000,0.11,30
28.0,2015-04-17 00:00:00,put,USO150417P00028000,0.27,40
28.0,2016-01-15 00:00:00,put,USO160115P00028000,0.83,10
28.5,2014-10-18 00:00:00,put,USO141018P00028500,0.04,6
28.5,2014-11-22 00:00:00,put,USO141122P00028500,0.08,65
29.0,2014-09-20 00:00:00,call,USO140920C00029000,6.5,5
29.0,2014-09-20 00:00:00,put,USO140920P00029000,0.02,16
29.0,2014-10-18 00:00:00,put,USO141018P00029000,0.03,40
29.0,2015-01-17 00:00:00,call,USO150117C00029000,6.65,4
29.0,2015-01-17 00:00:00,put,USO150117P00029000,0.1,4
29.0,2015-04-17 00:00:00,put,USO150417P00029000,0.33,32
