Strike,Expiry,Type,Symbol,Last,Vol
1.0,2014-09-20 00:00:00,call,UVXY2140920C00001000,14.85,45
1.0,2015-01-17 00:00:00,call,UVXY1150117C00001000,0.25,8
1.0,2015-01-17 00:00:00,call,UVXY2150117C00001000,18.42,0
1.0,2015-01-17 00:00:00,put,UVXY1150117P00001000,0.16,5
1.0,2015-01-17 00:00:00,put,UVXY2150117P00001000,0.01,24
1.0,2016-01-15 00:00:00,call,UVXY160115C00001000,23.25,1
1.0,2016-01-15 00:00:00,put,UVXY160115P00001000,0.15,1
1.0,2016-01-15 00:00:00,put,UVXY2160115P00001000,0.15,10
2.0,2015-01-17 00:00:00,call,UVXY1150117C00002000,0.05,9
2.0,2015-01-17 00:00:00,put,UVXY1150117P00002000,1.07,28
2.0,2015-01-17 00:00:00,put,UVXY2150117P00002000,0.13,0
2.0,2016-01-15 00:00:00,put,UVXY160115P00002000,0.4,10
2.0,2016-01-15 00:00:00,put,UVXY2160115P00002000,0.57,0
3.0,2014-09-20 00:00:00,put,UVXY2140920P00003000,0.01,2
3.0,2014-12-20 00:00:00,put,UVXY141220P00003000,0.01,5
3.0,2015-01-17 00:00:00,call,UVXY1150117C00003000,0.08,10
3.0,2015-01-17 00:00:00,put,UVXY1150117P00003000,1.98,95
3.0,2015-01-17 00:00:00,put,UVXY2150117P00003000,0.05,10
3.0,2016-01-15 00:00:00,call,UVXY160115C00003000,21.1,1
3.0,2016-01-15 00:00:00,put,UVXY160115P00003000,0.6,100
3.0,2016-01-15 00:00:00,put,UVXY2160115P00003000,1.07,0
4.0,2014-09-20 00:00:00,put,UVXY2140920P00004000,0.14,0
4.0,2015-01-17 00:00:00,call,UVXY1150117C00004000,0.05,1
4.0,2015-01-17 00:00:00,call,UVXY2150117C00004000,5.55,20
4.0,2015-01-17 00:00:00,put,UVXY1150117P00004000,3.0,20
4.0,2015-01-17 00:00:00,put,UVXY2150117P00004000,0.55,100
4.0,2016-01-15 00:00:00,call,UVXY160115C00004000,20.15,10
4.0,2016-01-15 00:00:00,put,UVXY160115P00004000,1.12,10
5.0,2014-09-20 00:00:00,put,UVXY2140920P00005000,0.45,20
5.0,2014-12-20 00:00:00,put,UVXY141220P00005000,0.03,250
5.0,2015-01-17 00:00:00,call,UVXY1150117C00005000,0.02,211
5.0,2015-01-17 00:00:00,call,UVXY150117C00005000,27.0,10
5.0,2015-01-17 00:00:00,call,UVXY2150117C00005000,4.75,10
5.0,2015-01-17 00:00:00,put,UVXY1150117P00005000,4.0,20
5.0,2015-01-17 00:00:00,put,UVXY150117P00005000,0.09,305
5.0,2015-01-17 00:00:00,put,UVXY2150117P00005000,1.07,16
5.0,2015-03-20 00:00:00,put,UVXY150320P00005000,0.22,30
5.0,2016-01-15 00:00:00,call,UVXY160115C00005000,19.35,10
5.0,2016-01-15 00:00:00,call,UVXY2160115C00005000,8.45,4
5.0,2016-01-15 00:00:00,put,UVXY160115P00005000,1.13,1
5.0,2016-01-15 00:00:00,put,UVXY2160115P00005000,2.6,15
6.0,2014-09-20 00:00:00,call,UVXY2140920C00006000,1.54,1
6.0,2014-09-20 00:00:00,put,UVXY2140920P00006000,0.78,40
6.0,2015-01-17 00:00:00,call,UVXY1150117C00006000,0.05,2
6.0,2015-01-17 00:00:00,put,UVXY1150117P00006000,4.9,8
6.0,2015-01-17 00:00:00,put,UVXY150117P00006000,0.08,241
6.0,2015-01-17 00:00:00,put,UVXY2150117P00006000,1.5,5
6.0,2016-01-15 00:00:00,call,UVXY2160115C00006000,5.6,10
6.0,2016-01-15 00:00:00,put,UVXY160115P00006000,1.01,1
6.0,2016-01-15 00:00:00,put,UVXY2160115P00006000,3.5,64
7.0,2014-09-20 00:00:00,put,UVXY2140920P00007000,1.52,1
7.0,2015-01-17 00:00:00,call,UVXY1150117C00007000,0.01,9
7.0,2015-01-17 00:00:00,call,UVXY2150117C00007000,2.1,10
7.0,2015-01-17 00:00:00,put,UVXY1150117P00007000,6.0,4
7.0,2015-01-17 00:00:00,put,UVXY150117P00007000,0.12,3
7.0,2015-01-17 00:00:00,put,UVXY2150117P00007000,2.0,11
7.0,2016-01-15 00:00:00,call,UVXY2160115C00007000,11.95,0
7.0,2016-01-15 00:00:00,put,UVXY160115P00007000,1.9,1
7.0,2016-01-15 00:00:00,put,UVXY2160115P00007000,4.25,120
8.0,2014-09-20 00:00:00,put,UVXY2140920P00008000,2.41,1
8.0,2014-12-20 00:00:00,put,UVXY141220P00008000,0.25,7
8.0,2015-01-17 00:00:00,call,UVXY1150117C00008000,0.03,4
8.0,2015-01-17 00:00:00,call,UVXY2150117C00008000,1.34,1
8.0,2015-01-17 00:00:00,put,UVXY1150117P00008000,7.0,1
8.0,2015-01-17 00:00:00,put,UVXY150117P00008000,0.05,5
8.0,2015-01-17 00:00:00,put,UVXY2150117P00008000,3.5,100
8.0,2015-03-20 00:00:00,put,UVXY150320P00008000,0.48,6
8.0,2016-01-15 00:00:00,call,UVXY2160115C00008000,2.68,1
8.0,2016-01-15 00:00:00,put,UVXY160115P00008000,2.4,2
8.0,2016-01-15 00:00:00,put,UVXY2160115P00008000,5.25,1
9.0,2014-09-20 00:00:00,call,UVXY2140920C00009000,0.92,2
9.0,2014-09-20 00:00:00,put,UVXY140920P00009000,0.07,1
9.0,2014-09-20 00:00:00,put,UVXY2140920P00009000,3.0,2
9.0,2014-12-20 00:00:00,put,UVXY141220P00009000,0.1,10
9.0,2015-01-17 00:00:00,call,UVXY1150117C00009000,0.1,7
9.0,2015-01-17 00:00:00,call,UVXY2150117C00009000,2.69,1
9.0,2015-01-17 00:00:00,put,UVXY1150117P00009000,7.51,0
9.0,2015-01-17 00:00:00,put,UVXY2150117P00009000,4.1,4
9.0,2015-03-20 00:00:00,put,UVXY150320P00009000,0.6,2
9.0,2016-01-15 00:00:00,call,UVXY2160115C00009000,9.8,16
9.0,2016-01-15 00:00:00,put,UVXY2160115P00009000,5.95,1
10.0,2014-09-20 00:00:00,call,UVXY2140920C00010000,0.46,2
10.0,2014-09-20 00:00:00,put,UVXY140920P00010000,0.01,21
10.0,2014-09-20 00:00:00,put,UVXY2140920P00010000,3.05,1
10.0,2014-12-20 00:00:00,call,UVXY141220C00010000,14.42,1
10.0,2014-12-20 00:00:00,put,UVXY141220P00010000,0.25,15
10.0,2015-01-17 00:00:00,call,UVXY1150117C00010000,0.12,0
10.0,2015-01-17 00:00:00,call,UVXY150117C00010000,14.6,49
10.0,2015-01-17 00:00:00,call,UVXY2150117C00010000,1.04,2
10.0,2015-01-17 00:00:00,put,UVXY1150117P00010000,8.9,2
10.0,2015-01-17 00:00:00,put,UVXY150117P00010000,0.31,4
10.0,2015-01-17 00:00:00,put,UVXY2150117P00010000,4.97,2
10.0,2015-03-20 00:00:00,put,UVXY150320P00010000,0.96,4
10.0,2016-01-15 00:00:00,call,UVXY160115C00010000,16.8,49
10.0,2016-01-15 00:00:00,call,UVXY2160115C00010000,5.0,50
10.0,2016-01-15 00:00:00,put,UVXY160115P00010000,3.25,10
10.0,2016-01-15 00:00:00,put,UVXY2160115P00010000,6.9,4
11.0,2015-01-17 00:00:00,call,UVXY1150117C00011000,0.07,1
11.0,2015-01-17 00:00:00,call,UVXY2150117C00011000,1.09,25
11.0,2015-01-17 00:00:00,put,UVXY1150117P00011000,9.32,0
11.0,2015-01-17 00:00:00,put,UVXY2150117P00011000,5.81,1
11.0,2015-03-20 00:00:00,call,UVXY150320C00011000,14.59,5
11.0,2015-03-20 00:00:00,put,UVXY150320P00011000,1.12,15
11.0,2016-01-15 00:00:00,put,UVXY2160115P00011000,7.5,10
12.0,2014-09-20 00:00:00,call,UVXY2140920C00012000,0.59,1
12.0,2014-09-20 00:00:00,put,UVXY2140920P00012000,6.01,4
12.0,2014-09-26 00:00:00,call,UVXY140926C00012000,12.9,1
12.0,2014-12-20 00:00:00,call,UVXY141220C00012000,14.2,1
12.0,2014-12-20 00:00:00,put,UVXY141220P00012000,0.5,27
12.0,2015-01-17 00:00:00,call,UVXY1150117C00012000,0.04,5
12.0,2015-01-17 00:00:00,call,UVXY2150117C00012000,1.99,1
12.0,2015-01-17 00:00:00,put,UVXY1150117P00012000,10.55,10
12.0,2015-01-17 00:00:00,put,UVXY2150117P00012000,6.65,20
12.0,2015-03-20 00:00:00,put,UVXY150320P00012000,1.6,40
12.0,2016-01-15 00:00:00,put,UVXY2160115P00012000,8.25,10
13.0,2014-09-20 00:00:00,call,UVXY2140920C00013000,0.45,1
13.0,2014-09-20 00:00:00,put,UVXY140920P00013000,0.05,1
13.0,2014-09-20 00:00:00,put,UVXY2140920P00013000,6.7,2
13.0,2015-01-17 00:00:00,call,UVXY1150117C00013000,0.2,0
13.0,2015-01-17 00:00:00,call,UVXY150117C00013000,12.05,20
13.0,2015-01-17 00:00:00,call,UVXY2150117C00013000,0.87,10
13.0,2015-01-17 00:00:00,put,UVXY1150117P00013000,11.49,0
13.0,2015-01-17 00:00:00,put,UVXY150117P00013000,0.86,3
13.0,2015-01-17 00:00:00,put,UVXY2150117P00013000,7.37,1
13.0,2015-03-20 00:00:00,put,UVXY150320P00013000,1.96,3
13.0,2016-01-15 00:00:00,call,UVXY160115C00013000,18.35,10
13.0,2016-01-15 00:00:00,call,UVXY2160115C00013000,2.08,1
13.0,2016-01-15 00:00:00,put,UVXY160115P00013000,5.5,4
13.0,2016-01-15 00:00:00,put,UVXY2160115P00013000,8.7,2
14.0,2014-09-20 00:00:00,call,UVXY140920C00014000,11.4,42
14.0,2014-09-20 00:00:00,call,UVXY2140920C00014000,1.05,1
14.0,2014-09-20 00:00:00,put,UVXY140920P00014000,0.06,1
14.0,2014-09-20 00:00:00,put,UVXY2140920P00014000,7.4,10
14.0,2014-09-26 00:00:00,call,UVXY140926C00014000,10.0,1
14.0,2014-10-18 00:00:00,put,UVXY141018P00014000,0.12,15
14.0,2015-01-17 00:00:00,call,UVXY1150117C00014000,0.03,2
14.0,2015-01-17 00:00:00,call,UVXY2150117C00014000,0.71,1
14.0,2015-01-17 00:00:00,put,UVXY1150117P00014000,12.95,1
14.0,2015-01-17 00:00:00,put,UVXY2150117P00014000,8.5,10
14.0,2015-03-20 00:00:00,put,UVXY150320P00014000,1.98,20
14.0,2016-01-15 00:00:00,call,UVXY2160115C00014000,3.55,2
14.0,2016-01-15 00:00:00,put,UVXY2160115P00014000,8.85,1
15.0,2014-09-20 00:00:00,call,UVXY140920C00015000,10.05,1
15.0,2014-09-20 00:00:00,call,UVXY2140920C00015000,0.43,1
15.0,2014-09-20 00:00:00,put,UVXY140920P00015000,0.04,68
15.0,2014-09-20 00:00:00,put,UVXY2140920P00015000,8.96,4
15.0,2014-10-18 00:00:00,call,UVXY141018C00015000,9.76,11
15.0,2014-10-18 00:00:00,put,UVXY141018P00015000,0.07,11
15.0,2014-12-20 00:00:00,call,UVXY141220C00015000,9.8,20
15.0,2014-12-20 00:00:00,put,UVXY141220P00015000,1.2,2
15.0,2015-01-17 00:00:00,call,UVXY1150117C00015000,0.07,31
15.0,2015-01-17 00:00:00,call,UVXY150117C00015000,10.9,2
15.0,2015-01-17 00:00:00,call,UVXY2150117C00015000,0.64,2
15.0,2015-01-17 00:00:00,put,UVXY1150117P00015000,13.65,10
15.0,2015-01-17 00:00:00,put,UVXY150117P00015000,1.59,6
15.0,2015-01-17 00:00:00,put,UVXY2150117P00015000,9.57,2
15.0,2015-03-20 00:00:00,call,UVXY150320C00015000,12.0,10
15.0,2015-03-20 00:00:00,put,UVXY150320P00015000,2.94,3
15.0,2016-01-15 00:00:00,call,UVXY160115C00015000,13.65,1
15.0,2016-01-15 00:00:00,call,UVXY2160115C00015000,3.35,50
15.0,2016-01-15 00:00:00,put,UVXY160115P00015000,6.4,1
15.0,2016-01-15 00:00:00,put,UVXY2160115P00015000,11.05,270
16.0,2014-09-20 00:00:00,call,UVXY140920C00016000,8.43,1
16.0,2014-09-20 00:00:00,call,UVXY2140920C00016000,0.58,10
16.0,2014-09-20 00:00:00,put,UVXY140920P00016000,0.05,1
16.0,2014-09-20 00:00:00,put,UVXY2140920P00016000,8.73,10
16.0,2014-09-26 00:00:00,put,UVXY140926P00016000,0.09,90
16.0,2014-10-18 00:00:00,call,UVXY141018C00016000,9.55,30
16.0,2014-10-18 00:00:00,put,UVXY141018P00016000,0.33,5
16.0,2015-01-17 00:00:00,call,UVXY1150117C00016000,0.12,0
16.0,2015-01-17 00:00:00,call,UVXY2150117C00016000,0.89,22
16.0,2015-01-17 00:00:00,put,UVXY1150117P00016000,14.4,0
16.0,2015-01-17 00:00:00,put,UVXY2150117P00016000,10.51,1
16.0,2015-03-20 00:00:00,put,UVXY150320P00016000,3.35,2
16.0,2016-01-15 00:00:00,call,UVXY2160115C00016000,4.8,21
16.0,2016-01-15 00:00:00,put,UVXY2160115P00016000,10.8,10
17.0,2014-09-05 00:00:00,call,UVXY140905C00017000,6.5,57
17.0,2014-09-20 00:00:00,call,UVXY140920C00017000,9.1,1
17.0,2014-09-20 00:00:00,call,UVXY2140920C00017000,1.28,540
17.0,2014-09-20 00:00:00,put,UVXY140920P00017000,0.06,11
17.0,2014-09-20 00:00:00,put,UVXY2140920P00017000,5.6,5
17.0,2014-10-03 00:00:00,put,UVXY141003P00017000,0.25,100
17.0,2014-10-18 00:00:00,put,UVXY141018P00017000,0.45,29
17.0,2014-12-20 00:00:00,call,UVXY141220C00017000,9.5,5
17.0,2014-12-20 00:00:00,put,UVXY141220P00017000,1.87,115
17.0,2015-01-17 00:00:00,call,UVXY1150117C00017000,0.6,0
17.0,2015-01-17 00:00:00,call,UVXY2150117C00017000,0.58,7
17.0,2015-01-17 00:00:00,put,UVXY1150117P00017000,11.7,0
17.0,2015-01-17 00:00:00,put,UVXY2150117P00017000,11.25,10
17.0,2016-01-15 00:00:00,call,UVXY2160115C00017000,8.6,1
17.0,2016-01-15 00:00:00,put,UVXY2160115P00017000,13.0,3
18.0,2014-09-05 00:00:00,put,UVXY140905P00018000,0.01,8
18.0,2014-09-12 00:00:00,call,UVXY140912C00018000,7.4,4
18.0,2014-09-12 00:00:00,put,UVXY140912P00018000,0.08,20
18.0,2014-09-20 00:00:00,call,UVXY140920C00018000,7.2,5
18.0,2014-09-20 00:00:00,call,UVXY2140920C00018000,0.12,39
18.0,2014-09-20 00:00:00,put,UVXY140920P00018000,0.06,219
18.0,2014-09-20 00:00:00,put,UVXY2140920P00018000,10.81,1
18.0,2014-09-26 00:00:00,call,UVXY140926C00018000,7.0,1
18.0,2014-09-26 00:00:00,put,UVXY140926P00018000,0.2,3
18.0,2014-10-03 00:00:00,put,UVXY141003P00018000,0.47,2
18.0,2014-10-18 00:00:00,call,UVXY141018C00018000,7.1,7
18.0,2014-10-18 00:00:00,put,UVXY141018P00018000,0.72,45
18.0,2015-01-17 00:00:00,call,UVXY1150117C00018000,0.03,1
18.0,2015-01-17 00:00:00,call,UVXY150117C00018000,8.99,5
18.0,2015-01-17 00:00:00,call,UVXY2150117C00018000,4.1,2
18.0,2015-01-17 00:00:00,put,UVXY150117P00018000,3.02,1
18.0,2015-01-17 00:00:00,put,UVXY2150117P00018000,11.85,20
18.0,2015-03-20 00:00:00,call,UVXY150320C00018000,10.35,3
18.0,2015-03-20 00:00:00,put,UVXY150320P00018000,4.57,1
18.0,2016-01-15 00:00:00,call,UVXY160115C00018000,12.97,2
18.0,2016-01-15 00:00:00,call,UVXY2160115C00018000,15.6,0
18.0,2016-01-15 00:00:00,put,UVXY160115P00018000,8.8,10
18.0,2016-01-15 00:00:00,put,UVXY2160115P00018000,12.4,1
18.5,2014-09-05 00:00:00,put,UVXY140905P00018500,0.07,4
18.5,2014-10-03 00:00:00,put,UVXY141003P00018500,0.5,2
19.0,2014-09-05 00:00:00,call,UVXY140905C00019000,6.35,19
19.0,2014-09-05 00:00:00,put,UVXY140905P00019000,0.05,22
19.0,2014-09-12 00:00:00,put,UVXY140912P00019000,0.12,13
19.0,2014-09-20 00:00:00,call,UVXY140920C00019000,5.65,1
19.0,2014-09-20 00:00:00,call,UVXY2140920C00019000,5.2,6
19.0,2014-09-20 00:00:00,put,UVXY140920P00019000,0.2,5
19.0,2014-09-20 00:00:00,put,UVXY2140920P00019000,6.9,0
19.0,2014-10-03 00:00:00,put,UVXY141003P00019000,0.58,102
19.0,2014-10-18 00:00:00,call,UVXY141018C00019000,6.33,4
19.0,2014-10-18 00:00:00,put,UVXY141018P00019000,0.97,16
19.0,2015-01-17 00:00:00,call,UVXY1150117C00019000,0.04,10
19.0,2015-01-17 00:00:00,call,UVXY2150117C00019000,0.47,7
