Strike,Expiry,Type,Symbol,Last,Vol
1.0,2015-01-17 00:00:00,call,VXX2150117C00001000,12.8,0
1.0,2015-01-17 00:00:00,put,VXX2150117P00001000,0.05,0
2.0,2015-01-17 00:00:00,put,VXX2150117P00002000,0.01,1
3.0,2014-11-22 00:00:00,put,VXX2141122P00003000,0.01,0
3.0,2015-01-17 00:00:00,put,VXX2150117P00003000,0.01,1
4.0,2015-01-17 00:00:00,call,VXX2150117C00004000,6.55,0
4.0,2015-01-17 00:00:00,put,VXX2150117P00004000,0.02,1
5.0,2014-11-22 00:00:00,put,VXX2141122P00005000,0.12,0
5.0,2015-01-17 00:00:00,call,VXX2150117C00005000,3.05,1
5.0,2015-01-17 00:00:00,put,VXX2150117P00005000,0.15,1
5.0,2016-01-15 00:00:00,call,VXX160115C00005000,25.0,10
5.0,2016-01-15 00:00:00,put,VXX160115P00005000,0.04,1090
6.0,2014-11-22 00:00:00,put,VXX2141122P00006000,0.12,5
6.0,2015-01-17 00:00:00,call,VXX2150117C00006000,2.4,1
6.0,2015-01-17 00:00:00,put,VXX2150117P00006000,0.5,20
6.0,2016-01-15 00:00:00,put,VXX160115P00006000,0.05,20
7.0,2014-11-22 00:00:00,call,VXX2141122C00007000,0.88,5
7.0,2014-11-22 00:00:00,put,VXX2141122P00007000,1.07,1
7.0,2015-01-17 00:00:00,call,VXX2150117C00007000,2.05,10
7.0,2015-01-17 00:00:00,put,VXX2150117P00007000,1.06,1
7.0,2016-01-15 00:00:00,put,VXX160115P00007000,0.06,6
8.0,2014-11-22 00:00:00,call,VXX2141122C00008000,0.64,1
8.0,2014-11-22 00:00:00,put,VXX2141122P00008000,1.27,6
8.0,2015-01-17 00:00:00,call,VXX2150117C00008000,1.51,4
8.0,2015-01-17 00:00:00,put,VXX2150117P00008000,1.8,2
8.0,2016-01-15 00:00:00,call,VXX160115C00008000,21.0,60
8.0,2016-01-15 00:00:00,put,VXX160115P00008000,0.18,12
9.0,2014-11-22 00:00:00,call,VXX2141122C00009000,0.91,5
9.0,2014-11-22 00:00:00,put,VXX2141122P00009000,2.38,1
9.0,2015-01-17 00:00:00,call,VXX2150117C00009000,0.73,1
9.0,2015-01-17 00:00:00,put,VXX2150117P00009000,1.88,30
9.0,2016-01-15 00:00:00,put,VXX160115P00009000,0.22,3
10.0,2014-09-20 00:00:00,call,VXX140920C00010000,17.65,1
10.0,2014-09-20 00:00:00,put,VXX140920P00010000,0.01,1
10.0,2014-11-22 00:00:00,call,VXX141122C00010000,17.91,1
10.0,2014-11-22 00:00:00,call,VXX2141122C00010000,0.48,6
10.0,2014-11-22 00:00:00,put,VXX141122P00010000,0.02,5
10.0,2014-11-22 00:00:00,put,VXX2141122P00010000,3.15,325
10.0,2014-12-20 00:00:00,call,VXX141220C00010000,20.0,1
10.0,2015-01-17 00:00:00,call,VXX150117C00010000,18.22,1
10.0,2015-01-17 00:00:00,call,VXX2150117C00010000,0.45,14
10.0,2015-01-17 00:00:00,put,VXX150117P00010000,0.1,20
10.0,2015-01-17 00:00:00,put,VXX2150117P00010000,3.55,5
10.0,2016-01-15 00:00:00,call,VXX160115C00010000,17.56,15
10.0,2016-01-15 00:00:00,put,VXX160115P00010000,0.36,26
11.0,2014-10-18 00:00:00,put,VXX141018P00011000,0.05,27
11.0,2014-11-22 00:00:00,call,VXX2141122C00011000,0.25,1
11.0,2014-11-22 00:00:00,put,VXX2141122P00011000,2.74,0
11.0,2015-01-17 00:00:00,call,VXX2150117C00011000,0.62,1
11.0,2015-01-17 00:00:00,put,VXX2150117P00011000,4.45,3
11.0,2016-01-15 00:00:00,call,VXX160115C00011000,17.2,2
11.0,2016-01-15 00:00:00,put,VXX160115P00011000,0.35,5
12.0,2014-10-18 00:00:00,put,VXX141018P00012000,0.1,15
