Strike,Expiry,Type,Symbol,Last,Vol
18.0,2015-01-17 00:00:00,call,WFC150117C00018000,32.45,95
18.0,2015-01-17 00:00:00,put,WFC150117P00018000,0.02,50
20.0,2015-01-17 00:00:00,call,WFC150117C00020000,30.26,9
20.0,2015-01-17 00:00:00,put,WFC150117P00020000,0.04,177
23.0,2015-01-17 00:00:00,call,WFC150117C00023000,27.45,55
23.0,2015-01-17 00:00:00,put,WFC150117P00023000,0.04,70
23.0,2016-01-15 00:00:00,call,WFC160115C00023000,27.0,2
23.0,2016-01-15 00:00:00,put,WFC160115P00023000,0.22,11
25.0,2014-10-18 00:00:00,put,WFC141018P00025000,0.01,3
25.0,2015-01-17 00:00:00,call,WFC150117C00025000,26.31,2
25.0,2015-01-17 00:00:00,put,WFC150117P00025000,0.07,401
25.0,2016-01-15 00:00:00,call,WFC160115C00025000,26.0,6
25.0,2016-01-15 00:00:00,put,WFC160115P00025000,0.21,418
26.0,2014-10-18 00:00:00,put,WFC141018P00026000,0.03,30
26.0,2015-01-17 00:00:00,put,WFC150117P00026000,0.07,30
27.0,2014-10-18 00:00:00,call,WFC141018C00027000,23.55,19
27.0,2014-10-18 00:00:00,put,WFC141018P00027000,0.1,12
27.0,2015-01-17 00:00:00,put,WFC150117P00027000,0.07,23
28.0,2014-10-18 00:00:00,put,WFC141018P00028000,0.02,9
28.0,2015-01-17 00:00:00,call,WFC150117C00028000,23.0,2
28.0,2015-01-17 00:00:00,put,WFC150117P00028000,0.05,20
28.0,2016-01-15 00:00:00,call,WFC160115C00028000,22.12,29
28.0,2016-01-15 00:00:00,put,WFC160115P00028000,0.26,3022
29.0,2014-10-18 00:00:00,put,WFC141018P00029000,0.04,25
29.0,2015-01-17 00:00:00,put,WFC150117P00029000,0.1,1
30.0,2014-10-18 00:00:00,put,WFC141018P00030000,0.05,28
30.0,2015-01-17 00:00:00,call,WFC150117C00030000,21.76,10
30.0,2015-01-17 00:00:00,put,WFC150117P00030000,0.04,1
30.0,2016-01-15 00:00:00,call,WFC160115C00030000,20.9,2
30.0,2016-01-15 00:00:00,put,WFC160115P00030000,0.37,2
31.0,2014-10-18 00:00:00,call,WFC141018C00031000,19.45,14
31.0,2014-10-18 00:00:00,put,WFC141018P00031000,0.05,32
31.0,2015-01-17 00:00:00,put,WFC150117P00031000,0.1,5
32.0,2014-10-18 00:00:00,call,WFC141018C00032000,18.2,31
32.0,2014-10-18 00:00:00,put,WFC141018P00032000,0.06,79
32.0,2015-01-17 00:00:00,put,WFC150117P00032000,0.11,10
33.0,2014-10-18 00:00:00,put,WFC141018P00033000,0.05,11
33.0,2015-01-17 00:00:00,call,WFC150117C00033000,18.6,1
33.0,2015-01-17 00:00:00,put,WFC150117P00033000,0.09,1
33.0,2016-01-15 00:00:00,call,WFC160115C00033000,18.35,5
33.0,2016-01-15 00:00:00,put,WFC160115P00033000,0.53,5
34.0,2014-10-18 00:00:00,put,WFC141018P00034000,0.17,5
34.0,2015-01-17 00:00:00,put,WFC150117P00034000,0.06,1
35.0,2014-09-20 00:00:00,put,WFC140920P00035000,0.03,3
35.0,2014-10-18 00:00:00,call,WFC141018C00035000,16.37,4
35.0,2014-10-18 00:00:00,put,WFC141018P00035000,0.02,282
35.0,2015-01-17 00:00:00,call,WFC150117C00035000,14.95,12
35.0,2015-01-17 00:00:00,put,WFC150117P00035000,0.1,7
35.0,2016-01-15 00:00:00,call,WFC160115C00035000,16.35,1
35.0,2016-01-15 00:00:00,put,WFC160115P00035000,0.64,3
36.0,2014-10-18 00:00:00,call,WFC141018C00036000,15.45,110
36.0,2014-10-18 00:00:00,put,WFC141018P00036000,0.06,6
36.0,2015-01-17 00:00:00,put,WFC150117P00036000,0.13,681
37.0,2014-10-18 00:00:00,put,WFC141018P00037000,0.1,2
37.0,2015-01-17 00:00:00,call,WFC150117C00037000,13.1,5
37.0,2015-01-17 00:00:00,put,WFC150117P00037000,0.15,4
38.0,2014-09-20 00:00:00,put,WFC140920P00038000,0.01,10
38.0,2014-10-18 00:00:00,call,WFC141018C00038000,12.43,27
38.0,2014-10-18 00:00:00,put,WFC141018P00038000,0.07,6
38.0,2015-01-17 00:00:00,put,WFC150117P00038000,0.19,14
38.0,2016-01-15 00:00:00,call,WFC160115C00038000,12.94,4
38.0,2016-01-15 00:00:00,put,WFC160115P00038000,0.97,27
39.0,2014-09-20 00:00:00,call,WFC140920C00039000,11.75,10
39.0,2014-09-20 00:00:00,put,WFC140920P00039000,0.02,20
39.0,2014-10-18 00:00:00,call,WFC141018C00039000,12.41,6
39.0,2014-10-18 00:00:00,put,WFC141018P00039000,0.06,50
39.0,2015-01-17 00:00:00,call,WFC150117C00039000,12.97,10
39.0,2015-01-17 00:00:00,put,WFC150117P00039000,0.22,24
40.0,2014-09-20 00:00:00,put,WFC140920P00040000,0.03,37
40.0,2014-10-18 00:00:00,call,WFC141018C00040000,11.2,50
40.0,2014-10-18 00:00:00,put,WFC141018P00040000,0.03,20
40.0,2015-01-17 00:00:00,call,WFC150117C00040000,11.44,26
40.0,2015-01-17 00:00:00,put,WFC150117P00040000,0.17,21
40.0,2015-04-17 00:00:00,put,WFC150417P00040000,0.4,5
40.0,2016-01-15 00:00:00,call,WFC160115C00040000,11.8,2
40.0,2016-01-15 00:00:00,put,WFC160115P00040000,1.23,8
41.0,2014-09-20 00:00:00,call,WFC140920C00041000,9.95,10
41.0,2014-09-20 00:00:00,put,WFC140920P00041000,0.03,10
41.0,2014-10-18 00:00:00,call,WFC141018C00041000,9.1,218
41.0,2014-10-18 00:00:00,put,WFC141018P00041000,0.15,5
41.0,2015-01-17 00:00:00,call,WFC150117C00041000,9.0,49
41.0,2015-01-17 00:00:00,put,WFC150117P00041000,0.21,38
42.0,2014-09-20 00:00:00,call,WFC140920C00042000,7.95,9
42.0,2014-10-18 00:00:00,call,WFC141018C00042000,8.6,12
42.0,2014-10-18 00:00:00,put,WFC141018P00042000,0.1,20
42.0,2015-01-17 00:00:00,call,WFC150117C00042000,9.42,4
42.0,2015-01-17 00:00:00,put,WFC150117P00042000,0.25,74
42.0,2016-01-15 00:00:00,call,WFC160115C00042000,9.95,21
42.0,2016-01-15 00:00:00,put,WFC160115P00042000,1.65,5
43.0,2014-10-18 00:00:00,call,WFC141018C00043000,8.4,10
43.0,2014-10-18 00:00:00,put,WFC141018P00043000,0.1,1
43.0,2015-01-17 00:00:00,call,WFC150117C00043000,7.7,135
43.0,2015-01-17 00:00:00,put,WFC150117P00043000,0.3,55
43.5,2014-09-26 00:00:00,call,WFC140926C00043500,6.53,4
44.0,2014-09-05 00:00:00,call,WFC140905C00044000,6.7,1
44.0,2014-09-05 00:00:00,put,WFC140905P00044000,0.04,60
44.0,2014-10-18 00:00:00,call,WFC141018C00044000,7.45,20
44.0,2014-10-18 00:00:00,put,WFC141018P00044000,0.15,3
44.0,2015-01-17 00:00:00,call,WFC150117C00044000,6.58,3
44.0,2015-01-17 00:00:00,put,WFC150117P00044000,0.34,20
44.5,2014-09-05 00:00:00,call,WFC140905C00044500,6.2,20
44.5,2014-09-12 00:00:00,put,WFC140912P00044500,0.13,21
44.5,2014-09-20 00:00:00,call,WFC140920C00044500,6.85,14
45.0,2014-09-12 00:00:00,put,WFC140912P00045000,0.1,1
45.0,2014-09-20 00:00:00,call,WFC140920C00045000,6.6,56
45.0,2014-09-20 00:00:00,put,WFC140920P00045000,0.02,1
45.0,2014-10-03 00:00:00,put,WFC141003P00045000,0.07,5
45.0,2014-10-18 00:00:00,call,WFC141018C00045000,6.32,10
45.0,2014-10-18 00:00:00,put,WFC141018P00045000,0.1,40
45.0,2014-11-22 00:00:00,call,WFC141122C00045000,6.7,10
45.0,2014-11-22 00:00:00,put,WFC141122P00045000,0.23,4
45.0,2015-01-17 00:00:00,call,WFC150117C00045000,6.7,3
45.0,2015-01-17 00:00:00,put,WFC150117P00045000,0.41,12
45.0,2015-04-17 00:00:00,call,WFC150417C00045000,6.84,4
45.0,2015-04-17 00:00:00,put,WFC150417P00045000,0.83,750
45.0,2016-01-15 00:00:00,call,WFC160115C00045000,7.65,7
45.0,2016-01-15 00:00:00,put,WFC160115P00045000,2.34,20
45.5,2014-09-05 00:00:00,call,WFC140905C00045500,5.2,7
45.5,2014-09-20 00:00:00,call,WFC140920C00045500,5.25,1
45.5,2014-09-20 00:00:00,put,WFC140920P00045500,0.07,160
46.0,2014-09-05 00:00:00,call,WFC140905C00046000,4.54,3
46.0,2014-09-05 00:00:00,put,WFC140905P00046000,0.02,12
46.0,2014-09-12 00:00:00,put,WFC140912P00046000,0.2,60
46.0,2014-09-20 00:00:00,put,WFC140920P00046000,0.04,10
46.0,2014-10-18 00:00:00,call,WFC141018C00046000,5.5,2
46.0,2014-10-18 00:00:00,put,WFC141018P00046000,0.14,206
46.0,2015-01-17 00:00:00,call,WFC150117C00046000,6.06,6
46.0,2015-01-17 00:00:00,put,WFC150117P00046000,0.52,1
46.5,2014-09-05 00:00:00,put,WFC140905P00046500,0.18,2
46.5,2014-09-12 00:00:00,put,WFC140912P00046500,0.17,4
46.5,2014-09-20 00:00:00,call,WFC140920C00046500,4.65,37
46.5,2014-10-03 00:00:00,call,WFC141003C00046500,5.02,3
47.0,2014-09-05 00:00:00,call,WFC140905C00047000,3.0,2
47.0,2014-09-05 00:00:00,put,WFC140905P00047000,0.08,30
47.0,2014-09-12 00:00:00,put,WFC140912P00047000,0.24,11
47.0,2014-09-20 00:00:00,put,WFC140920P00047000,0.07,9
47.0,2014-09-26 00:00:00,put,WFC140926P00047000,0.33,7
47.0,2014-10-18 00:00:00,call,WFC141018C00047000,4.52,30
47.0,2014-10-18 00:00:00,put,WFC141018P00047000,0.18,26
47.0,2015-01-17 00:00:00,call,WFC150117C00047000,4.87,32
47.0,2015-01-17 00:00:00,put,WFC150117P00047000,0.7,12
