Strike,Expiry,Type,Symbol,Last,Vol
20.0,2015-01-17 00:00:00,call,WFM150117C00020000,18.0,2
20.0,2015-01-17 00:00:00,put,WFM150117P00020000,0.04,10
20.0,2016-01-15 00:00:00,call,WFM160115C00020000,20.1,20
20.0,2016-01-15 00:00:00,put,WFM160115P00020000,0.2,5
21.0,2015-02-20 00:00:00,call,WFM150220C00021000,18.65,2
21.0,2015-02-20 00:00:00,put,WFM150220P00021000,0.05,8
21.25,2015-01-17 00:00:00,call,WFM150117C00021250,37.0,0
21.25,2015-01-17 00:00:00,put,WFM150117P00021250,0.1,35
22.5,2015-01-17 00:00:00,call,WFM150117C00022500,15.85,1
22.5,2015-01-17 00:00:00,put,WFM150117P00022500,0.14,10
23.0,2014-11-22 00:00:00,call,WFM141122C00023000,15.9,2
23.0,2014-11-22 00:00:00,put,WFM141122P00023000,0.06,2
23.0,2015-02-20 00:00:00,put,WFM150220P00023000,0.06,39
23.0,2016-01-15 00:00:00,call,WFM160115C00023000,15.7,2
23.0,2016-01-15 00:00:00,put,WFM160115P00023000,0.5,1
24.0,2014-11-22 00:00:00,put,WFM141122P00024000,0.09,4
24.0,2015-01-17 00:00:00,call,WFM150117C00024000,15.5,217
24.0,2015-01-17 00:00:00,put,WFM150117P00024000,0.11,10
25.0,2014-11-22 00:00:00,put,WFM141122P00025000,0.04,5
25.0,2015-01-17 00:00:00,call,WFM150117C00025000,13.53,406
25.0,2015-01-17 00:00:00,put,WFM150117P00025000,0.12,5
25.0,2015-02-20 00:00:00,put,WFM150220P00025000,0.17,1
25.0,2016-01-15 00:00:00,call,WFM160115C00025000,14.8,10
25.0,2016-01-15 00:00:00,put,WFM160115P00025000,0.58,8
26.0,2014-09-20 00:00:00,call,WFM140920C00026000,11.75,10
26.0,2014-09-20 00:00:00,put,WFM140920P00026000,0.02,5
26.0,2014-10-18 00:00:00,put,WFM141018P00026000,0.02,25
26.0,2014-11-22 00:00:00,put,WFM141122P00026000,0.09,10
26.0,2015-02-20 00:00:00,put,WFM150220P00026000,0.18,1
26.5,2015-01-17 00:00:00,call,WFM150117C00026500,10.3,1
26.5,2015-01-17 00:00:00,put,WFM150117P00026500,0.09,14
27.0,2014-09-20 00:00:00,call,WFM140920C00027000,10.4,11
27.0,2014-09-20 00:00:00,put,WFM140920P00027000,0.1,10
27.0,2014-11-22 00:00:00,put,WFM141122P00027000,0.1,10
27.0,2015-02-20 00:00:00,put,WFM150220P00027000,0.34,18
27.5,2015-01-17 00:00:00,call,WFM150117C00027500,10.65,2
27.5,2015-01-17 00:00:00,put,WFM150117P00027500,0.14,10
28.0,2014-09-20 00:00:00,put,WFM140920P00028000,0.1,2
