Strike,Expiry,Type,Symbol,Last,Vol
1.0,2014-12-20 00:00:00,put,WLT141220P00001000,0.03,2
1.0,2015-03-20 00:00:00,put,WLT150320P00001000,0.05,1
1.0,2016-01-15 00:00:00,put,WLT160115P00001000,0.2,39
2.0,2014-12-20 00:00:00,call,WLT141220C00002000,4.6,4
2.0,2014-12-20 00:00:00,put,WLT141220P00002000,0.05,2
2.0,2015-03-20 00:00:00,put,WLT150320P00002000,0.13,99
2.0,2016-01-15 00:00:00,put,WLT160115P00002000,0.44,26
2.5,2015-01-17 00:00:00,call,WLT150117C00002500,3.77,1
2.5,2015-01-17 00:00:00,put,WLT150117P00002500,0.09,10
3.0,2014-09-20 00:00:00,call,WLT140920C00003000,2.82,5
3.0,2014-09-20 00:00:00,put,WLT140920P00003000,0.03,1
3.0,2014-09-26 00:00:00,call,WLT140926C00003000,2.84,1
3.0,2014-12-20 00:00:00,call,WLT141220C00003000,2.6,5
3.0,2014-12-20 00:00:00,put,WLT141220P00003000,0.13,52
3.0,2015-03-20 00:00:00,put,WLT150320P00003000,0.27,30
3.0,2016-01-15 00:00:00,call,WLT160115C00003000,2.8,29
3.0,2016-01-15 00:00:00,put,WLT160115P00003000,0.85,20
4.0,2014-09-20 00:00:00,call,WLT140920C00004000,2.6,13
4.0,2014-09-20 00:00:00,put,WLT140920P00004000,0.04,50
4.0,2014-09-26 00:00:00,call,WLT140926C00004000,1.61,1
4.0,2014-09-26 00:00:00,put,WLT140926P00004000,0.05,5
4.0,2014-10-18 00:00:00,put,WLT141018P00004000,0.08,77
4.0,2014-12-20 00:00:00,call,WLT141220C00004000,1.85,5
4.0,2014-12-20 00:00:00,put,WLT141220P00004000,0.3,5
4.0,2015-01-17 00:00:00,call,WLT150117C00004000,1.72,18
4.0,2015-01-17 00:00:00,put,WLT150117P00004000,0.4,20
4.0,2015-03-20 00:00:00,call,WLT150320C00004000,1.9,10
4.0,2015-03-20 00:00:00,put,WLT150320P00004000,0.6,14
4.0,2016-01-15 00:00:00,call,WLT160115C00004000,2.26,23
4.0,2016-01-15 00:00:00,put,WLT160115P00004000,1.35,15
4.5,2014-09-12 00:00:00,put,WLT140912P00004500,0.06,3
4.5,2014-09-20 00:00:00,call,WLT140920C00004500,1.31,27
4.5,2014-09-20 00:00:00,put,WLT140920P00004500,0.06,20
4.5,2014-09-26 00:00:00,put,WLT140926P00004500,0.08,5
5.0,2014-09-05 00:00:00,call,WLT140905C00005000,0.59,150
5.0,2014-09-05 00:00:00,put,WLT140905P00005000,0.04,50
5.0,2014-09-12 00:00:00,call,WLT140912C00005000,0.93,10
5.0,2014-09-12 00:00:00,put,WLT140912P00005000,0.07,80
5.0,2014-09-20 00:00:00,call,WLT140920C00005000,0.59,2
5.0,2014-09-20 00:00:00,put,WLT140920P00005000,0.14,36
5.0,2014-09-26 00:00:00,put,WLT140926P00005000,0.16,1
5.0,2014-10-18 00:00:00,call,WLT141018C00005000,0.79,32
5.0,2014-10-18 00:00:00,put,WLT141018P00005000,0.32,40
5.0,2014-12-20 00:00:00,call,WLT141220C00005000,0.98,138
5.0,2014-12-20 00:00:00,put,WLT141220P00005000,0.69,561
5.0,2015-01-17 00:00:00,call,WLT150117C00005000,1.04,36
5.0,2015-01-17 00:00:00,put,WLT150117P00005000,0.82,312
5.0,2015-03-20 00:00:00,call,WLT150320C00005000,1.2,2
5.0,2015-03-20 00:00:00,put,WLT150320P00005000,1.07,25
5.0,2016-01-15 00:00:00,call,WLT160115C00005000,1.77,92
5.0,2016-01-15 00:00:00,put,WLT160115P00005000,1.97,11
5.5,2014-09-05 00:00:00,call,WLT140905C00005500,0.16,140
5.5,2014-09-05 00:00:00,put,WLT140905P00005500,0.15,240
5.5,2014-09-12 00:00:00,call,WLT140912C00005500,0.26,15
5.5,2014-09-12 00:00:00,put,WLT140912P00005500,0.25,46
5.5,2014-09-20 00:00:00,call,WLT140920C00005500,0.28,26
5.5,2014-09-20 00:00:00,put,WLT140920P00005500,0.29,169
5.5,2014-09-26 00:00:00,call,WLT140926C00005500,0.51,5
5.5,2014-09-26 00:00:00,put,WLT140926P00005500,0.37,12
5.5,2014-10-03 00:00:00,call,WLT141003C00005500,0.55,1
6.0,2014-09-05 00:00:00,call,WLT140905C00006000,0.04,356
6.0,2014-09-05 00:00:00,put,WLT140905P00006000,0.49,20
6.0,2014-09-12 00:00:00,call,WLT140912C00006000,0.09,64
6.0,2014-09-12 00:00:00,put,WLT140912P00006000,0.58,34
6.0,2014-09-20 00:00:00,call,WLT140920C00006000,0.12,68
6.0,2014-09-20 00:00:00,put,WLT140920P00006000,0.64,22
6.0,2014-09-26 00:00:00,call,WLT140926C00006000,0.28,15
6.0,2014-09-26 00:00:00,put,WLT140926P00006000,0.67,7
6.0,2014-10-03 00:00:00,call,WLT141003C00006000,0.19,107
6.0,2014-10-18 00:00:00,call,WLT141018C00006000,0.27,31
6.0,2014-10-18 00:00:00,put,WLT141018P00006000,0.84,23
6.0,2014-12-20 00:00:00,call,WLT141220C00006000,0.5,17
6.0,2014-12-20 00:00:00,put,WLT141220P00006000,1.26,64
6.0,2015-01-17 00:00:00,call,WLT150117C00006000,0.6,44
6.0,2015-01-17 00:00:00,put,WLT150117P00006000,1.26,32
6.0,2015-03-20 00:00:00,call,WLT150320C00006000,0.78,32
6.0,2015-03-20 00:00:00,put,WLT150320P00006000,1.67,10
6.5,2014-09-05 00:00:00,call,WLT140905C00006500,0.02,45
6.5,2014-09-05 00:00:00,put,WLT140905P00006500,0.38,57
6.5,2014-09-12 00:00:00,call,WLT140912C00006500,0.08,40
6.5,2014-09-12 00:00:00,put,WLT140912P00006500,1.05,2
6.5,2014-09-20 00:00:00,call,WLT140920C00006500,0.03,8
6.5,2014-09-20 00:00:00,put,WLT140920P00006500,1.06,10
6.5,2014-09-26 00:00:00,call,WLT140926C00006500,0.1,7
6.5,2014-09-26 00:00:00,put,WLT140926P00006500,0.67,10
6.5,2014-10-03 00:00:00,call,WLT141003C00006500,0.14,10
7.0,2014-09-05 00:00:00,call,WLT140905C00007000,0.04,1
7.0,2014-09-05 00:00:00,put,WLT140905P00007000,1.26,10
7.0,2014-09-12 00:00:00,call,WLT140912C00007000,0.02,4
7.0,2014-09-12 00:00:00,put,WLT140912P00007000,0.88,11
7.0,2014-09-20 00:00:00,call,WLT140920C00007000,0.03,60
7.0,2014-09-20 00:00:00,put,WLT140920P00007000,1.59,22
7.0,2014-09-26 00:00:00,call,WLT140926C00007000,0.24,12
7.0,2014-09-26 00:00:00,put,WLT140926P00007000,1.38,10
7.0,2014-10-03 00:00:00,call,WLT141003C00007000,0.07,12
7.0,2014-10-18 00:00:00,call,WLT141018C00007000,0.11,13
7.0,2014-10-18 00:00:00,put,WLT141018P00007000,1.46,11
7.0,2014-12-20 00:00:00,call,WLT141220C00007000,0.29,419
7.0,2014-12-20 00:00:00,put,WLT141220P00007000,1.82,4
7.0,2015-03-20 00:00:00,call,WLT150320C00007000,0.48,15
7.0,2015-03-20 00:00:00,put,WLT150320P00007000,2.24,4
7.5,2014-09-05 00:00:00,call,WLT140905C00007500,0.04,12
7.5,2014-09-05 00:00:00,put,WLT140905P00007500,1.0,37
7.5,2014-09-12 00:00:00,call,WLT140912C00007500,0.12,3
7.5,2014-09-20 00:00:00,call,WLT140920C00007500,0.05,3
7.5,2014-09-26 00:00:00,call,WLT140926C00007500,0.19,1
7.5,2014-09-26 00:00:00,put,WLT140926P00007500,1.24,10
7.5,2015-01-17 00:00:00,call,WLT150117C00007500,0.25,35
7.5,2015-01-17 00:00:00,put,WLT150117P00007500,2.57,5
8.0,2014-09-05 00:00:00,call,WLT140905C00008000,0.07,33
8.0,2014-09-05 00:00:00,put,WLT140905P00008000,1.51,7
8.0,2014-09-12 00:00:00,call,WLT140912C00008000,0.11,15
8.0,2014-09-20 00:00:00,call,WLT140920C00008000,0.06,25
8.0,2014-09-20 00:00:00,put,WLT140920P00008000,2.53,3
8.0,2014-10-18 00:00:00,call,WLT141018C00008000,0.06,135
8.0,2014-10-18 00:00:00,put,WLT141018P00008000,2.6,3
8.0,2014-12-20 00:00:00,call,WLT141220C00008000,0.14,117
8.0,2014-12-20 00:00:00,put,WLT141220P00008000,2.6,37
8.0,2015-03-20 00:00:00,call,WLT150320C00008000,0.35,7
8.0,2015-03-20 00:00:00,put,WLT150320P00008000,2.94,2
8.0,2016-01-15 00:00:00,call,WLT160115C00008000,0.93,5
8.0,2016-01-15 00:00:00,put,WLT160115P00008000,4.3,12
8.5,2014-09-05 00:00:00,put,WLT140905P00008500,2.2,53
8.5,2014-09-26 00:00:00,call,WLT140926C00008500,0.1,11
8.5,2014-09-26 00:00:00,put,WLT140926P00008500,2.9,5
9.0,2014-09-05 00:00:00,put,WLT140905P00009000,2.4,3
9.0,2014-09-20 00:00:00,call,WLT140920C00009000,0.01,56
9.0,2014-09-20 00:00:00,put,WLT140920P00009000,3.5,1
9.0,2014-09-26 00:00:00,put,WLT140926P00009000,2.79,5
9.0,2014-10-18 00:00:00,put,WLT141018P00009000,3.44,10
9.0,2014-12-20 00:00:00,call,WLT141220C00009000,0.07,11
9.0,2014-12-20 00:00:00,put,WLT141220P00009000,3.57,2
9.0,2015-01-17 00:00:00,call,WLT150117C00009000,0.13,10
9.0,2015-01-17 00:00:00,put,WLT150117P00009000,4.25,10
9.0,2015-03-20 00:00:00,call,WLT150320C00009000,0.25,40
9.0,2015-03-20 00:00:00,put,WLT150320P00009000,4.05,6
9.5,2014-09-05 00:00:00,put,WLT140905P00009500,2.91,4
10.0,2014-09-05 00:00:00,put,WLT140905P00010000,3.6,5
10.0,2014-09-20 00:00:00,call,WLT140920C00010000,0.02,42
10.0,2014-09-20 00:00:00,put,WLT140920P00010000,4.49,10
10.0,2014-10-18 00:00:00,put,WLT141018P00010000,4.0,40
10.0,2014-12-20 00:00:00,call,WLT141220C00010000,0.06,53
10.0,2014-12-20 00:00:00,put,WLT141220P00010000,4.54,1
10.0,2015-01-17 00:00:00,call,WLT150117C00010000,0.09,148
10.0,2015-01-17 00:00:00,put,WLT150117P00010000,4.95,1
10.0,2015-03-20 00:00:00,call,WLT150320C00010000,0.26,10
10.0,2015-03-20 00:00:00,put,WLT150320P00010000,5.07,10
10.0,2016-01-15 00:00:00,call,WLT160115C00010000,0.61,53
10.0,2016-01-15 00:00:00,put,WLT160115P00010000,5.74,22
11.0,2014-09-20 00:00:00,call,WLT140920C00011000,0.03,10
11.0,2014-09-20 00:00:00,put,WLT140920P00011000,5.52,3
11.0,2014-09-26 00:00:00,put,WLT140926P00011000,5.23,10
11.0,2014-12-20 00:00:00,call,WLT141220C00011000,0.05,148
11.0,2014-12-20 00:00:00,put,WLT141220P00011000,5.61,9
11.0,2015-01-17 00:00:00,call,WLT150117C00011000,0.07,17
11.0,2015-01-17 00:00:00,put,WLT150117P00011000,5.57,5
11.0,2015-03-20 00:00:00,call,WLT150320C00011000,0.15,100
11.0,2015-03-20 00:00:00,put,WLT150320P00011000,5.82,5
12.0,2014-09-20 00:00:00,call,WLT140920C00012000,0.03,5
12.0,2014-09-20 00:00:00,put,WLT140920P00012000,6.3,7
12.0,2014-12-20 00:00:00,call,WLT141220C00012000,0.03,1
12.0,2014-12-20 00:00:00,put,WLT141220P00012000,6.6,20
12.5,2015-01-17 00:00:00,call,WLT150117C00012500,0.03,105
12.5,2015-01-17 00:00:00,put,WLT150117P00012500,7.25,140
13.0,2014-09-20 00:00:00,call,WLT140920C00013000,0.05,1
13.0,2014-09-20 00:00:00,put,WLT140920P00013000,6.75,5
13.0,2014-12-20 00:00:00,call,WLT141220C00013000,0.09,20
13.0,2014-12-20 00:00:00,put,WLT141220P00013000,7.0,5
13.0,2016-01-15 00:00:00,call,WLT160115C00013000,0.4,20
13.0,2016-01-15 00:00:00,put,WLT160115P00013000,8.67,10
14.0,2014-09-20 00:00:00,call,WLT140920C00014000,0.04,20
14.0,2014-09-20 00:00:00,put,WLT140920P00014000,8.29,7
14.0,2014-12-20 00:00:00,call,WLT141220C00014000,0.08,20
14.0,2014-12-20 00:00:00,put,WLT141220P00014000,8.19,1
14.0,2015-01-17 00:00:00,call,WLT150117C00014000,0.07,82
14.0,2015-01-17 00:00:00,put,WLT150117P00014000,8.03,10
15.0,2014-09-20 00:00:00,call,WLT140920C00015000,0.02,1
15.0,2014-09-20 00:00:00,put,WLT140920P00015000,8.58,20
15.0,2014-12-20 00:00:00,call,WLT141220C00015000,0.04,1
15.0,2014-12-20 00:00:00,put,WLT141220P00015000,8.83,20
15.0,2015-01-17 00:00:00,call,WLT150117C00015000,0.02,11
15.0,2015-01-17 00:00:00,put,WLT150117P00015000,9.7,5
15.0,2016-01-15 00:00:00,call,WLT160115C00015000,0.28,10
