Strike,Expiry,Type,Symbol,Last,Vol
45.0,2015-01-17 00:00:00,call,XOM150117C00045000,54.6,33
45.0,2015-01-17 00:00:00,put,XOM150117P00045000,0.03,10
45.0,2016-01-15 00:00:00,call,XOM160115C00045000,54.4,2
45.0,2016-01-15 00:00:00,put,XOM160115P00045000,0.22,2
47.5,2015-01-17 00:00:00,put,XOM150117P00047500,0.03,10
50.0,2015-01-17 00:00:00,call,XOM150117C00050000,49.45,33
50.0,2015-01-17 00:00:00,put,XOM150117P00050000,0.03,4
50.0,2015-04-17 00:00:00,put,XOM150417P00050000,0.09,3
50.0,2016-01-15 00:00:00,call,XOM160115C00050000,48.5,2
50.0,2016-01-15 00:00:00,put,XOM160115P00050000,0.32,4
55.0,2015-01-17 00:00:00,call,XOM150117C00055000,44.2,12
55.0,2015-01-17 00:00:00,put,XOM150117P00055000,0.07,2
55.0,2016-01-15 00:00:00,call,XOM160115C00055000,44.07,101
55.0,2016-01-15 00:00:00,put,XOM160115P00055000,0.71,3
60.0,2014-10-18 00:00:00,put,XOM141018P00060000,0.03,3
60.0,2015-01-17 00:00:00,put,XOM150117P00060000,0.07,4
60.0,2016-01-15 00:00:00,call,XOM160115C00060000,40.25,1
60.0,2016-01-15 00:00:00,put,XOM160115P00060000,0.6,23
65.0,2014-10-18 00:00:00,put,XOM141018P00065000,0.03,23
65.0,2015-01-17 00:00:00,call,XOM150117C00065000,34.4,36
65.0,2015-01-17 00:00:00,put,XOM150117P00065000,0.1,50
65.0,2015-04-17 00:00:00,put,XOM150417P00065000,0.25,25
65.0,2016-01-15 00:00:00,call,XOM160115C00065000,33.93,644
65.0,2016-01-15 00:00:00,put,XOM160115P00065000,0.9,10
70.0,2014-10-18 00:00:00,put,XOM141018P00070000,0.02,10
70.0,2015-01-17 00:00:00,call,XOM150117C00070000,29.0,11
70.0,2015-01-17 00:00:00,put,XOM150117P00070000,0.09,20
70.0,2015-04-17 00:00:00,put,XOM150417P00070000,0.3,3
70.0,2016-01-15 00:00:00,call,XOM160115C00070000,28.95,1
70.0,2016-01-15 00:00:00,put,XOM160115P00070000,1.3,15
75.0,2014-10-18 00:00:00,put,XOM141018P00075000,0.03,10
75.0,2014-11-22 00:00:00,put,XOM141122P00075000,0.08,32
75.0,2015-01-17 00:00:00,call,XOM150117C00075000,24.18,1
75.0,2015-01-17 00:00:00,put,XOM150117P00075000,0.17,8
75.0,2015-04-17 00:00:00,put,XOM150417P00075000,0.49,1
75.0,2016-01-15 00:00:00,call,XOM160115C00075000,24.8,50
75.0,2016-01-15 00:00:00,put,XOM160115P00075000,1.82,90
77.5,2015-01-17 00:00:00,call,XOM150117C00077500,24.6,3
77.5,2015-01-17 00:00:00,put,XOM150117P00077500,0.3,1
77.5,2016-01-15 00:00:00,call,XOM160115C00077500,21.78,100
77.5,2016-01-15 00:00:00,put,XOM160115P00077500,2.2,1
80.0,2014-09-20 00:00:00,put,XOM140920P00080000,0.01,10
80.0,2014-10-18 00:00:00,call,XOM141018C00080000,20.3,81
80.0,2014-10-18 00:00:00,put,XOM141018P00080000,0.05,20
80.0,2015-01-17 00:00:00,call,XOM150117C00080000,19.4,1
80.0,2015-01-17 00:00:00,put,XOM150117P00080000,0.36,5
80.0,2015-04-17 00:00:00,put,XOM150417P00080000,0.74,13
80.0,2016-01-15 00:00:00,call,XOM160115C00080000,20.18,1
80.0,2016-01-15 00:00:00,put,XOM160115P00080000,2.61,1
81.0,2014-09-20 00:00:00,put,XOM140920P00081000,0.02,12
82.5,2015-01-17 00:00:00,call,XOM150117C00082500,21.55,4
82.5,2015-01-17 00:00:00,put,XOM150117P00082500,0.45,48
82.5,2016-01-15 00:00:00,call,XOM160115C00082500,17.5,50
82.5,2016-01-15 00:00:00,put,XOM160115P00082500,3.0,190
84.0,2014-09-20 00:00:00,put,XOM140920P00084000,0.05,6
84.0,2014-09-26 00:00:00,put,XOM140926P00084000,0.02,7
85.0,2014-09-20 00:00:00,put,XOM140920P00085000,0.03,8
85.0,2014-10-18 00:00:00,put,XOM141018P00085000,0.09,7
85.0,2014-11-22 00:00:00,put,XOM141122P00085000,0.25,30
85.0,2015-01-17 00:00:00,call,XOM150117C00085000,15.4,2
85.0,2015-01-17 00:00:00,put,XOM150117P00085000,0.52,8
85.0,2015-04-17 00:00:00,put,XOM150417P00085000,1.28,55
85.0,2016-01-15 00:00:00,call,XOM160115C00085000,15.6,1
85.0,2016-01-15 00:00:00,put,XOM160115P00085000,3.7,1
86.0,2014-09-20 00:00:00,put,XOM140920P00086000,0.07,5
87.0,2014-09-26 00:00:00,put,XOM140926P00087000,0.21,3
87.5,2014-10-18 00:00:00,put,XOM141018P00087500,0.11,20
87.5,2015-01-17 00:00:00,call,XOM150117C00087500,12.57,1
87.5,2015-01-17 00:00:00,put,XOM150117P00087500,0.81,17
87.5,2016-01-15 00:00:00,call,XOM160115C00087500,13.5,26
87.5,2016-01-15 00:00:00,put,XOM160115P00087500,4.25,81
89.0,2014-09-20 00:00:00,put,XOM140920P00089000,0.09,55
89.0,2014-09-26 00:00:00,put,XOM140926P00089000,0.26,6
90.0,2014-09-05 00:00:00,call,XOM140905C00090000,9.5,5
90.0,2014-09-05 00:00:00,put,XOM140905P00090000,0.04,10
90.0,2014-09-12 00:00:00,put,XOM140912P00090000,0.03,10
90.0,2014-09-20 00:00:00,call,XOM140920C00090000,9.5,55
90.0,2014-09-20 00:00:00,put,XOM140920P00090000,0.04,56
90.0,2014-09-26 00:00:00,put,XOM140926P00090000,0.12,250
90.0,2014-10-18 00:00:00,call,XOM141018C00090000,10.18,5
90.0,2014-10-18 00:00:00,put,XOM141018P00090000,0.2,15
90.0,2014-11-22 00:00:00,call,XOM141122C00090000,10.23,1
90.0,2014-11-22 00:00:00,put,XOM141122P00090000,0.6,4
90.0,2015-01-17 00:00:00,call,XOM150117C00090000,10.15,6
90.0,2015-01-17 00:00:00,put,XOM150117P00090000,1.07,29
90.0,2015-04-17 00:00:00,call,XOM150417C00090000,10.65,7
90.0,2015-04-17 00:00:00,put,XOM150417P00090000,2.1,725
90.0,2016-01-15 00:00:00,call,XOM160115C00090000,12.0,30
90.0,2016-01-15 00:00:00,put,XOM160115P00090000,5.15,11
91.0,2014-09-05 00:00:00,put,XOM140905P00091000,0.25,250
91.0,2014-09-12 00:00:00,put,XOM140912P00091000,0.13,100
91.0,2014-09-20 00:00:00,put,XOM140920P00091000,0.03,14
92.0,2014-09-05 00:00:00,call,XOM140905C00092000,7.0,10
92.0,2014-09-05 00:00:00,put,XOM140905P00092000,0.06,40
92.0,2014-09-12 00:00:00,put,XOM140912P00092000,0.08,5
92.0,2014-09-26 00:00:00,put,XOM140926P00092000,0.13,5
92.5,2014-09-20 00:00:00,call,XOM140920C00092500,6.2,21
92.5,2014-09-20 00:00:00,put,XOM140920P00092500,0.07,8
92.5,2014-10-18 00:00:00,call,XOM141018C00092500,7.35,11
92.5,2014-10-18 00:00:00,put,XOM141018P00092500,0.31,81
92.5,2014-11-22 00:00:00,call,XOM141122C00092500,6.95,2
92.5,2014-11-22 00:00:00,put,XOM141122P00092500,0.84,308
92.5,2015-01-17 00:00:00,call,XOM150117C00092500,7.4,3
92.5,2015-01-17 00:00:00,put,XOM150117P00092500,1.57,10
92.5,2015-04-17 00:00:00,call,XOM150417C00092500,8.45,1
92.5,2015-04-17 00:00:00,put,XOM150417P00092500,2.68,2
