Strike,Expiry,Type,Symbol,Last,Vol
30.0,2015-01-17 00:00:00,put,XOP150117P00030000,0.04,30
35.0,2014-09-20 00:00:00,put,XOP140920P00035000,0.09,22
35.0,2015-01-17 00:00:00,put,XOP150117P00035000,0.07,35
35.0,2016-01-15 00:00:00,put,XOP160115P00035000,0.36,50
40.0,2014-09-20 00:00:00,put,XOP140920P00040000,0.07,30
40.0,2015-01-17 00:00:00,put,XOP150117P00040000,0.05,11
40.0,2015-03-20 00:00:00,put,XOP150320P00040000,0.13,2
40.0,2016-01-15 00:00:00,put,XOP160115P00040000,0.8,10
44.0,2014-09-20 00:00:00,put,XOP140920P00044000,0.02,1
44.0,2015-01-17 00:00:00,put,XOP150117P00044000,0.09,20
45.0,2014-09-20 00:00:00,put,XOP140920P00045000,0.07,50
45.0,2014-12-20 00:00:00,put,XOP141220P00045000,0.09,1
45.0,2015-01-17 00:00:00,put,XOP150117P00045000,0.17,1
45.0,2015-03-20 00:00:00,put,XOP150320P00045000,0.25,2
45.0,2016-01-15 00:00:00,call,XOP160115C00045000,28.7,42
45.0,2016-01-15 00:00:00,put,XOP160115P00045000,0.95,26
46.0,2015-01-17 00:00:00,put,XOP150117P00046000,1.71,0
47.0,2014-09-20 00:00:00,call,XOP140920C00047000,26.67,100
47.0,2015-01-17 00:00:00,put,XOP150117P00047000,1.84,0
48.0,2015-01-17 00:00:00,put,XOP150117P00048000,0.12,20
49.0,2015-01-17 00:00:00,put,XOP150117P00049000,0.2,130
50.0,2014-09-20 00:00:00,put,XOP140920P00050000,0.1,20
50.0,2015-01-17 00:00:00,call,XOP150117C00050000,28.5,1
50.0,2015-01-17 00:00:00,put,XOP150117P00050000,0.2,30
50.0,2016-01-15 00:00:00,call,XOP160115C00050000,24.2,20
50.0,2016-01-15 00:00:00,put,XOP160115P00050000,1.8,1
51.0,2015-01-17 00:00:00,put,XOP150117P00051000,1.38,13
52.0,2015-01-17 00:00:00,put,XOP150117P00052000,1.79,0
53.0,2015-01-17 00:00:00,call,XOP150117C00053000,20.5,2
53.0,2015-01-17 00:00:00,put,XOP150117P00053000,1.9,1
54.0,2014-09-20 00:00:00,put,XOP140920P00054000,0.06,25
54.0,2015-01-17 00:00:00,call,XOP150117C00054000,21.1,3
54.0,2015-01-17 00:00:00,put,XOP150117P00054000,0.47,1
55.0,2014-09-20 00:00:00,put,XOP140920P00055000,0.08,1
55.0,2015-01-17 00:00:00,call,XOP150117C00055000,19.05,3
55.0,2015-01-17 00:00:00,put,XOP150117P00055000,0.57,20
55.0,2015-03-20 00:00:00,call,XOP150320C00055000,19.8,11
55.0,2015-03-20 00:00:00,put,XOP150320P00055000,0.6,35
55.0,2016-01-15 00:00:00,call,XOP160115C00055000,21.4,20
55.0,2016-01-15 00:00:00,put,XOP160115P00055000,2.89,1
56.0,2014-09-20 00:00:00,put,XOP140920P00056000,0.04,1
56.0,2015-01-17 00:00:00,call,XOP150117C00056000,26.1,10
56.0,2015-01-17 00:00:00,put,XOP150117P00056000,1.11,20
57.0,2014-09-20 00:00:00,put,XOP140920P00057000,1.67,10
57.0,2015-01-17 00:00:00,call,XOP150117C00057000,12.58,0
57.0,2015-01-17 00:00:00,put,XOP150117P00057000,0.58,60
57.0,2016-01-15 00:00:00,call,XOP160115C00057000,19.8,20
57.0,2016-01-15 00:00:00,put,XOP160115P00057000,2.43,12
58.0,2014-09-20 00:00:00,call,XOP140920C00058000,16.8,20
58.0,2014-09-20 00:00:00,put,XOP140920P00058000,0.03,2
58.0,2015-01-17 00:00:00,call,XOP150117C00058000,13.6,5
58.0,2015-01-17 00:00:00,put,XOP150117P00058000,0.9,32
58.0,2016-01-15 00:00:00,call,XOP160115C00058000,18.3,20
58.0,2016-01-15 00:00:00,put,XOP160115P00058000,2.61,14
59.0,2014-09-20 00:00:00,put,XOP140920P00059000,0.17,5
59.0,2015-01-17 00:00:00,call,XOP150117C00059000,10.65,0
59.0,2015-01-17 00:00:00,put,XOP150117P00059000,1.02,11
59.0,2016-01-15 00:00:00,call,XOP160115C00059000,23.8,11
59.0,2016-01-15 00:00:00,put,XOP160115P00059000,2.79,76
60.0,2014-09-20 00:00:00,put,XOP140920P00060000,0.02,5
60.0,2014-12-20 00:00:00,put,XOP141220P00060000,0.41,4
60.0,2015-01-17 00:00:00,call,XOP150117C00060000,18.2,23
60.0,2015-01-17 00:00:00,put,XOP150117P00060000,0.6,8
60.0,2015-03-20 00:00:00,call,XOP150320C00060000,17.8,2
60.0,2015-03-20 00:00:00,put,XOP150320P00060000,1.3,20
60.0,2016-01-15 00:00:00,call,XOP160115C00060000,19.6,2
60.0,2016-01-15 00:00:00,put,XOP160115P00060000,3.15,1
61.0,2014-09-20 00:00:00,put,XOP140920P00061000,0.23,1
61.0,2015-01-17 00:00:00,call,XOP150117C00061000,11.05,10
61.0,2015-01-17 00:00:00,put,XOP150117P00061000,2.76,165
61.0,2016-01-15 00:00:00,call,XOP160115C00061000,17.2,11
61.0,2016-01-15 00:00:00,put,XOP160115P00061000,4.5,20
62.0,2014-09-20 00:00:00,put,XOP140920P00062000,0.04,7
62.0,2015-01-17 00:00:00,call,XOP150117C00062000,16.3,11
62.0,2015-01-17 00:00:00,put,XOP150117P00062000,1.58,10
62.0,2016-01-15 00:00:00,call,XOP160115C00062000,17.32,59
62.0,2016-01-15 00:00:00,put,XOP160115P00062000,3.4,1
63.0,2014-09-20 00:00:00,put,XOP140920P00063000,0.04,2
63.0,2016-01-15 00:00:00,call,XOP160115C00063000,14.3,11
63.0,2016-01-15 00:00:00,put,XOP160115P00063000,3.7,25
64.0,2014-09-20 00:00:00,call,XOP140920C00064000,12.5,2
64.0,2014-09-20 00:00:00,put,XOP140920P00064000,0.12,3
64.0,2014-10-18 00:00:00,put,XOP141018P00064000,0.21,3
64.0,2014-12-20 00:00:00,call,XOP141220C00064000,14.0,2
64.0,2014-12-20 00:00:00,put,XOP141220P00064000,1.6,35
64.0,2016-01-15 00:00:00,call,XOP160115C00064000,9.35,0
64.0,2016-01-15 00:00:00,put,XOP160115P00064000,4.16,2
65.0,2014-09-20 00:00:00,call,XOP140920C00065000,16.65,19
65.0,2014-09-20 00:00:00,put,XOP140920P00065000,0.08,7
65.0,2014-09-26 00:00:00,put,XOP140926P00065000,0.18,6
65.0,2014-10-18 00:00:00,put,XOP141018P00065000,0.29,1
65.0,2014-12-20 00:00:00,call,XOP141220C00065000,14.25,1
65.0,2014-12-20 00:00:00,put,XOP141220P00065000,0.59,5
65.0,2015-01-17 00:00:00,call,XOP150117C00065000,12.0,1
65.0,2015-01-17 00:00:00,put,XOP150117P00065000,0.87,1095
65.0,2015-03-20 00:00:00,call,XOP150320C00065000,13.6,11
65.0,2015-03-20 00:00:00,put,XOP150320P00065000,2.8,20
65.0,2016-01-15 00:00:00,call,XOP160115C00065000,14.15,10
65.0,2016-01-15 00:00:00,put,XOP160115P00065000,4.7,425
66.0,2014-09-20 00:00:00,call,XOP140920C00066000,15.7,5
66.0,2014-09-20 00:00:00,put,XOP140920P00066000,0.05,5
66.0,2014-09-26 00:00:00,put,XOP140926P00066000,0.69,50
66.0,2014-12-20 00:00:00,call,XOP141220C00066000,10.25,4
66.0,2014-12-20 00:00:00,put,XOP141220P00066000,1.85,20
66.0,2016-01-15 00:00:00,call,XOP160115C00066000,13.75,23
66.0,2016-01-15 00:00:00,put,XOP160115P00066000,5.5,3
67.0,2014-09-20 00:00:00,call,XOP140920C00067000,12.0,6
67.0,2014-09-20 00:00:00,put,XOP140920P00067000,0.05,1
67.0,2014-09-26 00:00:00,put,XOP140926P00067000,0.6,1
67.0,2014-10-18 00:00:00,put,XOP141018P00067000,0.38,1
67.0,2014-12-20 00:00:00,call,XOP141220C00067000,11.3,4
67.0,2014-12-20 00:00:00,put,XOP141220P00067000,1.01,3
67.0,2015-03-20 00:00:00,call,XOP150320C00067000,10.15,17
67.0,2015-03-20 00:00:00,put,XOP150320P00067000,3.4,11
67.0,2016-01-15 00:00:00,call,XOP160115C00067000,14.9,6
67.0,2016-01-15 00:00:00,put,XOP160115P00067000,5.85,3
67.5,2014-09-12 00:00:00,call,XOP140912C00067500,8.85,9
67.5,2014-09-12 00:00:00,put,XOP140912P00067500,0.35,10
68.0,2014-09-12 00:00:00,call,XOP140912C00068000,7.15,22
68.0,2014-09-12 00:00:00,put,XOP140912P00068000,0.05,16
68.0,2014-09-20 00:00:00,call,XOP140920C00068000,6.75,1
68.0,2014-09-20 00:00:00,put,XOP140920P00068000,0.07,2
68.0,2014-09-26 00:00:00,put,XOP140926P00068000,0.26,4
68.0,2014-10-18 00:00:00,call,XOP141018C00068000,8.0,2
68.0,2014-10-18 00:00:00,put,XOP141018P00068000,0.3,1
68.0,2014-12-20 00:00:00,call,XOP141220C00068000,9.35,13
68.0,2014-12-20 00:00:00,put,XOP141220P00068000,2.51,5
68.0,2015-03-20 00:00:00,call,XOP150320C00068000,9.5,9
68.0,2015-03-20 00:00:00,put,XOP150320P00068000,3.75,5
68.0,2016-01-15 00:00:00,call,XOP160115C00068000,14.25,12
68.0,2016-01-15 00:00:00,put,XOP160115P00068000,6.2,3
68.5,2014-09-12 00:00:00,call,XOP140912C00068500,6.5,12
68.5,2014-09-12 00:00:00,put,XOP140912P00068500,1.0,16
69.0,2014-09-12 00:00:00,call,XOP140912C00069000,6.5,13
69.0,2014-09-12 00:00:00,put,XOP140912P00069000,0.35,45
69.0,2014-09-20 00:00:00,call,XOP140920C00069000,6.1,715
69.0,2014-09-20 00:00:00,put,XOP140920P00069000,0.11,9
69.0,2014-09-26 00:00:00,call,XOP140926C00069000,7.25,10
69.0,2014-09-26 00:00:00,put,XOP140926P00069000,0.14,7
69.0,2014-10-18 00:00:00,call,XOP141018C00069000,9.3,23
69.0,2014-10-18 00:00:00,put,XOP141018P00069000,0.33,4
69.0,2014-12-20 00:00:00,call,XOP141220C00069000,9.83,3
69.0,2014-12-20 00:00:00,put,XOP141220P00069000,2.15,10
69.0,2015-03-20 00:00:00,call,XOP150320C00069000,9.25,1
69.0,2015-03-20 00:00:00,put,XOP150320P00069000,4.05,21
69.0,2016-01-15 00:00:00,call,XOP160115C00069000,16.3,11
69.0,2016-01-15 00:00:00,put,XOP160115P00069000,6.6,4
69.5,2014-09-12 00:00:00,call,XOP140912C00069500,5.55,10
69.5,2014-09-12 00:00:00,put,XOP140912P00069500,0.6,13
69.5,2014-09-20 00:00:00,put,XOP140920P00069500,0.24,5
69.5,2014-09-26 00:00:00,put,XOP140926P00069500,0.44,5
69.5,2014-10-03 00:00:00,put,XOP141003P00069500,0.24,15
70.0,2014-09-12 00:00:00,call,XOP140912C00070000,5.4,2
70.0,2014-09-12 00:00:00,put,XOP140912P00070000,0.76,3
70.0,2014-09-20 00:00:00,call,XOP140920C00070000,8.1,1
70.0,2014-09-20 00:00:00,put,XOP140920P00070000,0.13,633
70.0,2014-09-26 00:00:00,call,XOP140926C00070000,6.35,10
70.0,2014-09-26 00:00:00,put,XOP140926P00070000,0.5,12
70.0,2014-10-18 00:00:00,call,XOP141018C00070000,6.4,1
70.0,2014-10-18 00:00:00,put,XOP141018P00070000,0.54,1320
70.0,2014-12-20 00:00:00,call,XOP141220C00070000,8.0,22
70.0,2014-12-20 00:00:00,put,XOP141220P00070000,2.05,3
70.0,2015-01-17 00:00:00,call,XOP150117C00070000,9.8,1
70.0,2015-01-17 00:00:00,put,XOP150117P00070000,2.36,15
70.0,2015-03-20 00:00:00,call,XOP150320C00070000,8.45,1
70.0,2015-03-20 00:00:00,put,XOP150320P00070000,4.48,5
70.0,2016-01-15 00:00:00,call,XOP160115C00070000,12.8,1
70.0,2016-01-15 00:00:00,put,XOP160115P00070000,6.9,2501
70.5,2014-09-12 00:00:00,call,XOP140912C00070500,7.95,4
70.5,2014-09-12 00:00:00,put,XOP140912P00070500,0.61,22
70.5,2014-09-20 00:00:00,put,XOP140920P00070500,0.65,20
70.5,2014-09-26 00:00:00,put,XOP140926P00070500,0.38,10
71.0,2014-09-12 00:00:00,call,XOP140912C00071000,7.55,10
71.0,2014-09-12 00:00:00,put,XOP140912P00071000,0.95,1
71.0,2014-09-20 00:00:00,call,XOP140920C00071000,4.6,1
71.0,2014-09-20 00:00:00,put,XOP140920P00071000,0.13,3
71.0,2014-09-26 00:00:00,put,XOP140926P00071000,0.57,3
71.0,2014-10-18 00:00:00,call,XOP141018C00071000,5.6,10
71.0,2014-10-18 00:00:00,put,XOP141018P00071000,0.94,28
71.0,2014-12-20 00:00:00,call,XOP141220C00071000,8.05,12
71.0,2014-12-20 00:00:00,put,XOP141220P00071000,1.49,2
71.0,2015-03-20 00:00:00,call,XOP150320C00071000,7.65,2
71.0,2015-03-20 00:00:00,put,XOP150320P00071000,2.91,3
