Strike,Expiry,Type,Symbol,Last,Vol
35.0,2015-01-17 00:00:00,put,XRT150117P00035000,0.03,10
40.0,2015-01-17 00:00:00,put,XRT150117P00040000,0.03,12
40.0,2016-01-15 00:00:00,put,XRT160115P00040000,0.33,51
45.0,2015-01-17 00:00:00,put,XRT150117P00045000,0.04,24
45.0,2016-01-15 00:00:00,call,XRT160115C00045000,40.9,0
45.0,2016-01-15 00:00:00,put,XRT160115P00045000,0.52,10
47.0,2014-09-20 00:00:00,put,XRT140920P00047000,0.03,1
48.0,2014-09-20 00:00:00,put,XRT140920P00048000,0.04,1
50.0,2014-09-20 00:00:00,put,XRT140920P00050000,0.09,8
50.0,2014-12-20 00:00:00,put,XRT141220P00050000,0.03,34
50.0,2015-01-17 00:00:00,call,XRT150117C00050000,33.4,10
50.0,2015-01-17 00:00:00,put,XRT150117P00050000,0.1,68
50.0,2016-01-15 00:00:00,put,XRT160115P00050000,0.82,10
53.0,2014-09-20 00:00:00,put,XRT140920P00053000,0.03,10
54.0,2014-09-20 00:00:00,put,XRT140920P00054000,0.03,4
54.0,2015-01-17 00:00:00,put,XRT150117P00054000,0.32,25
55.0,2014-09-20 00:00:00,put,XRT140920P00055000,0.03,4
55.0,2014-12-20 00:00:00,put,XRT141220P00055000,0.15,62
55.0,2015-01-17 00:00:00,put,XRT150117P00055000,0.2,100
55.0,2016-01-15 00:00:00,call,XRT160115C00055000,33.3,0
55.0,2016-01-15 00:00:00,put,XRT160115P00055000,1.3,3
56.0,2014-09-20 00:00:00,put,XRT140920P00056000,0.03,3
56.0,2015-01-17 00:00:00,put,XRT150117P00056000,0.39,21
57.0,2014-09-20 00:00:00,put,XRT140920P00057000,0.03,10
57.0,2015-01-17 00:00:00,put,XRT150117P00057000,0.2,1
58.0,2015-01-17 00:00:00,put,XRT150117P00058000,0.56,2
59.0,2014-09-20 00:00:00,put,XRT140920P00059000,0.04,11
59.0,2015-01-17 00:00:00,put,XRT150117P00059000,0.27,1
60.0,2014-09-20 00:00:00,put,XRT140920P00060000,0.03,1
60.0,2014-12-20 00:00:00,put,XRT141220P00060000,0.43,4
60.0,2015-01-17 00:00:00,put,XRT150117P00060000,0.27,36
60.0,2016-01-15 00:00:00,put,XRT160115P00060000,1.38,7
61.0,2015-01-17 00:00:00,put,XRT150117P00061000,0.72,14
62.0,2014-09-20 00:00:00,put,XRT140920P00062000,0.06,12
62.0,2015-01-17 00:00:00,call,XRT150117C00062000,20.81,0
62.0,2015-01-17 00:00:00,put,XRT150117P00062000,0.34,25
63.0,2015-01-17 00:00:00,put,XRT150117P00063000,0.26,50
64.0,2015-01-17 00:00:00,put,XRT150117P00064000,0.86,20
65.0,2014-12-20 00:00:00,put,XRT141220P00065000,0.28,3
65.0,2015-01-17 00:00:00,put,XRT150117P00065000,0.48,10
65.0,2016-01-15 00:00:00,call,XRT160115C00065000,19.65,10
65.0,2016-01-15 00:00:00,put,XRT160115P00065000,1.9,10
66.0,2014-09-20 00:00:00,call,XRT140920C00066000,17.9,6
66.0,2014-09-20 00:00:00,put,XRT140920P00066000,0.04,27
66.0,2015-01-17 00:00:00,put,XRT150117P00066000,0.51,751
67.0,2014-09-20 00:00:00,put,XRT140920P00067000,0.06,47
67.0,2014-12-20 00:00:00,put,XRT141220P00067000,0.54,721
67.0,2015-01-17 00:00:00,call,XRT150117C00067000,19.4,63
67.0,2015-01-17 00:00:00,put,XRT150117P00067000,0.6,110
68.0,2014-09-20 00:00:00,put,XRT140920P00068000,0.03,23
68.0,2014-12-20 00:00:00,put,XRT141220P00068000,0.58,57
68.0,2015-01-17 00:00:00,call,XRT150117C00068000,16.65,7
68.0,2015-01-17 00:00:00,put,XRT150117P00068000,1.3,40
69.0,2014-09-20 00:00:00,put,XRT140920P00069000,0.08,3
69.0,2014-12-20 00:00:00,put,XRT141220P00069000,0.67,430
69.0,2015-01-17 00:00:00,call,XRT150117C00069000,15.4,0
69.0,2015-01-17 00:00:00,put,XRT150117P00069000,0.78,49
70.0,2014-09-20 00:00:00,call,XRT140920C00070000,18.8,1
70.0,2014-09-20 00:00:00,put,XRT140920P00070000,0.04,16
70.0,2014-12-20 00:00:00,call,XRT141220C00070000,18.79,2
70.0,2014-12-20 00:00:00,put,XRT141220P00070000,0.31,5
70.0,2015-01-17 00:00:00,call,XRT150117C00070000,19.0,5
70.0,2015-01-17 00:00:00,put,XRT150117P00070000,0.51,1
70.0,2015-03-20 00:00:00,call,XRT150320C00070000,15.7,11
70.0,2015-03-20 00:00:00,put,XRT150320P00070000,1.3,2
70.0,2016-01-15 00:00:00,call,XRT160115C00070000,18.6,11
70.0,2016-01-15 00:00:00,put,XRT160115P00070000,3.3,10
71.0,2014-09-20 00:00:00,put,XRT140920P00071000,0.04,141
71.0,2014-12-20 00:00:00,put,XRT141220P00071000,0.32,72
71.0,2015-01-17 00:00:00,call,XRT150117C00071000,16.0,1
71.0,2015-01-17 00:00:00,put,XRT150117P00071000,0.77,10
72.0,2014-09-20 00:00:00,put,XRT140920P00072000,0.04,32
72.0,2014-12-20 00:00:00,call,XRT141220C00072000,12.04,47
72.0,2014-12-20 00:00:00,put,XRT141220P00072000,0.87,961
72.0,2015-01-17 00:00:00,call,XRT150117C00072000,12.8,25
72.0,2015-01-17 00:00:00,put,XRT150117P00072000,0.59,9
73.0,2014-09-20 00:00:00,put,XRT140920P00073000,0.04,16
73.0,2014-12-20 00:00:00,put,XRT141220P00073000,0.95,16
73.0,2015-03-20 00:00:00,call,XRT150320C00073000,12.7,5
74.0,2014-09-20 00:00:00,call,XRT140920C00074000,11.08,8
74.0,2014-09-20 00:00:00,put,XRT140920P00074000,0.1,2
74.0,2014-12-20 00:00:00,call,XRT141220C00074000,11.55,21
74.0,2014-12-20 00:00:00,put,XRT141220P00074000,0.41,28
75.0,2014-09-20 00:00:00,call,XRT140920C00075000,13.5,1
75.0,2014-09-20 00:00:00,put,XRT140920P00075000,0.08,14
75.0,2014-12-20 00:00:00,put,XRT141220P00075000,1.14,40
75.0,2015-01-17 00:00:00,call,XRT150117C00075000,14.25,1
75.0,2015-01-17 00:00:00,put,XRT150117P00075000,0.62,11
75.0,2015-03-20 00:00:00,call,XRT150320C00075000,10.35,1
75.0,2015-03-20 00:00:00,put,XRT150320P00075000,1.11,10
75.0,2016-01-15 00:00:00,call,XRT160115C00075000,13.0,22
75.0,2016-01-15 00:00:00,put,XRT160115P00075000,3.35,5
76.0,2014-09-20 00:00:00,call,XRT140920C00076000,11.85,27
76.0,2014-09-20 00:00:00,put,XRT140920P00076000,0.05,4
76.0,2014-12-20 00:00:00,call,XRT141220C00076000,9.9,3
76.0,2014-12-20 00:00:00,put,XRT141220P00076000,1.39,13
76.0,2015-03-20 00:00:00,call,XRT150320C00076000,9.55,1
76.0,2016-01-15 00:00:00,call,XRT160115C00076000,12.05,3
76.0,2016-01-15 00:00:00,put,XRT160115P00076000,6.35,3
76.5,2014-09-05 00:00:00,put,XRT140905P00076500,0.03,56
77.0,2014-09-05 00:00:00,put,XRT140905P00077000,0.03,1
77.0,2014-09-12 00:00:00,put,XRT140912P00077000,0.11,10
77.0,2014-09-20 00:00:00,call,XRT140920C00077000,8.05,1
77.0,2014-09-20 00:00:00,put,XRT140920P00077000,0.07,49
77.0,2014-12-20 00:00:00,put,XRT141220P00077000,1.04,4
77.0,2015-03-20 00:00:00,put,XRT150320P00077000,1.33,2
77.0,2016-01-15 00:00:00,call,XRT160115C00077000,11.4,3
77.0,2016-01-15 00:00:00,put,XRT160115P00077000,6.9,10
77.5,2014-09-05 00:00:00,put,XRT140905P00077500,0.03,40
77.5,2014-09-12 00:00:00,call,XRT140912C00077500,8.0,57
77.5,2014-09-26 00:00:00,put,XRT140926P00077500,0.17,10
78.0,2014-09-20 00:00:00,call,XRT140920C00078000,7.35,11
78.0,2014-09-20 00:00:00,put,XRT140920P00078000,0.08,5
78.0,2014-10-18 00:00:00,put,XRT141018P00078000,0.32,25
78.0,2014-12-20 00:00:00,call,XRT141220C00078000,8.15,4
78.0,2014-12-20 00:00:00,put,XRT141220P00078000,0.92,111
78.0,2015-03-20 00:00:00,call,XRT150320C00078000,9.15,11
78.0,2016-01-15 00:00:00,call,XRT160115C00078000,9.85,3
78.0,2016-01-15 00:00:00,put,XRT160115P00078000,7.2,0
78.5,2014-09-05 00:00:00,put,XRT140905P00078500,0.03,1
78.5,2014-09-20 00:00:00,put,XRT140920P00078500,0.12,10
78.5,2014-09-26 00:00:00,put,XRT140926P00078500,0.58,11
79.0,2014-09-05 00:00:00,put,XRT140905P00079000,0.1,1
79.0,2014-09-12 00:00:00,put,XRT140912P00079000,0.15,10
79.0,2014-09-20 00:00:00,call,XRT140920C00079000,6.5,2
79.0,2014-09-20 00:00:00,put,XRT140920P00079000,0.09,10
79.0,2014-09-26 00:00:00,put,XRT140926P00079000,0.24,15
79.0,2014-10-18 00:00:00,put,XRT141018P00079000,0.48,2
79.0,2014-12-20 00:00:00,call,XRT141220C00079000,6.9,47
79.0,2014-12-20 00:00:00,put,XRT141220P00079000,2.0,5
79.0,2015-03-20 00:00:00,call,XRT150320C00079000,7.75,1
79.0,2015-03-20 00:00:00,put,XRT150320P00079000,3.1,20
79.0,2016-01-15 00:00:00,call,XRT160115C00079000,10.0,5
79.0,2016-01-15 00:00:00,put,XRT160115P00079000,7.1,4
79.5,2014-09-05 00:00:00,put,XRT140905P00079500,0.38,10
79.5,2014-09-12 00:00:00,call,XRT140912C00079500,8.45,10
