Strike,Expiry,Type,Symbol,Last,Vol
3.0,2015-01-17 00:00:00,call,YHOO150117C00003000,33.2,3
3.0,2015-01-17 00:00:00,put,YHOO150117P00003000,0.02,0
5.0,2015-01-17 00:00:00,call,YHOO150117C00005000,33.15,2
8.0,2015-01-17 00:00:00,call,YHOO150117C00008000,30.75,42
8.0,2015-01-17 00:00:00,put,YHOO150117P00008000,0.02,0
10.0,2015-01-17 00:00:00,call,YHOO150117C00010000,28.2,2
10.0,2015-01-17 00:00:00,put,YHOO150117P00010000,0.02,0
13.0,2015-01-17 00:00:00,call,YHOO150117C00013000,21.28,4
13.0,2015-01-17 00:00:00,put,YHOO150117P00013000,0.02,3
15.0,2015-01-17 00:00:00,call,YHOO150117C00015000,21.0,15
15.0,2015-01-17 00:00:00,put,YHOO150117P00015000,0.02,22
15.0,2016-01-15 00:00:00,call,YHOO160115C00015000,23.0,2
15.0,2016-01-15 00:00:00,put,YHOO160115P00015000,0.05,10
17.0,2015-01-17 00:00:00,call,YHOO150117C00017000,21.0,3
17.0,2015-01-17 00:00:00,put,YHOO150117P00017000,0.01,4
18.0,2014-10-18 00:00:00,call,YHOO141018C00018000,20.39,20
18.0,2014-10-18 00:00:00,put,YHOO141018P00018000,0.02,19
18.0,2016-01-15 00:00:00,call,YHOO160115C00018000,16.0,2
18.0,2016-01-15 00:00:00,put,YHOO160115P00018000,0.11,3
19.0,2014-10-18 00:00:00,call,YHOO141018C00019000,16.55,12
19.0,2014-10-18 00:00:00,put,YHOO141018P00019000,0.01,3
19.0,2015-01-17 00:00:00,call,YHOO150117C00019000,19.1,6
19.0,2015-01-17 00:00:00,put,YHOO150117P00019000,0.02,20
20.0,2014-10-18 00:00:00,call,YHOO141018C00020000,18.4,5
20.0,2014-10-18 00:00:00,put,YHOO141018P00020000,0.01,8
20.0,2015-01-17 00:00:00,call,YHOO150117C00020000,18.75,17
20.0,2015-01-17 00:00:00,put,YHOO150117P00020000,0.02,10
20.0,2015-04-17 00:00:00,call,YHOO150417C00020000,18.49,2
20.0,2016-01-15 00:00:00,call,YHOO160115C00020000,18.76,38
20.0,2016-01-15 00:00:00,put,YHOO160115P00020000,0.36,15
21.0,2014-10-18 00:00:00,call,YHOO141018C00021000,15.95,14
21.0,2014-10-18 00:00:00,put,YHOO141018P00021000,0.01,1
21.0,2015-01-17 00:00:00,call,YHOO150117C00021000,14.75,7
21.0,2015-01-17 00:00:00,put,YHOO150117P00021000,0.05,200
22.0,2015-01-17 00:00:00,call,YHOO150117C00022000,16.35,1
22.0,2015-01-17 00:00:00,put,YHOO150117P00022000,0.03,2
23.0,2014-10-18 00:00:00,call,YHOO141018C00023000,12.9,9
23.0,2014-10-18 00:00:00,put,YHOO141018P00023000,0.03,3
23.0,2016-01-15 00:00:00,call,YHOO160115C00023000,16.11,17
23.0,2016-01-15 00:00:00,put,YHOO160115P00023000,0.5,25
24.0,2014-10-18 00:00:00,call,YHOO141018C00024000,10.45,1
24.0,2014-10-18 00:00:00,put,YHOO141018P00024000,0.01,4
24.0,2015-01-17 00:00:00,call,YHOO150117C00024000,13.1,3
24.0,2015-01-17 00:00:00,put,YHOO150117P00024000,0.05,45
25.0,2014-09-20 00:00:00,call,YHOO140920C00025000,12.69,7
25.0,2014-09-20 00:00:00,put,YHOO140920P00025000,0.01,10
